Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LRG1,Leucine-rich alpha-2-glycoprotein,19880,579,2.43 [1.83-3.22],6.838445864683761e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LTBP2,Latent-transforming growth factor beta-binding protein 2,23217,688,2.19 [1.81-2.66],1.4552119877900692e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LTBR,Tumor necrosis factor receptor superfamily member 3,22771,672,2.03 [1.65-2.49],1.5552812681867618e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LY9,T-lymphocyte surface antigen Ly-9,22637,670,1.81 [1.46-2.25],5.1688749593389775e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,MERTK,Tyrosine-protein kinase Mer,23192,682,2.20 [1.69-2.87],4.0722727515310155e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,MMP12,Macrophage metalloelastase,22955,680,1.47 [1.30-1.65],1.3537260962305502e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,MZB1,Marginal zone B- and B1-cell-specific protein,22959,681,1.56 [1.38-1.76],1.5549218009982786e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NBL1,Neuroblastoma suppressor of tumorigenicity 1,22980,680,2.45 [1.95-3.08],2.3293913753784322e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,19795,574,1.90 [1.54-2.34],2.1509017397706716e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NECTIN2,Nectin-2,22897,681,2.25 [1.85-2.73],3.667889959301418e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NECTIN4,Nectin-4,22980,680,1.87 [1.58-2.21],3.0861477520240935e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NPC2,NPC intracellular cholesterol transporter 2,19536,572,1.86 [1.54-2.24],9.683248024144416e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NPDC1,Neural proliferation differentiation and control protein 1,22927,681,1.84 [1.55-2.18],1.615157542977618e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NT5C1A,Cytosolic 5'-nucleotidase 1A,19807,579,1.67 [1.40-2.00],2.0797117414864623e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,OCLN,Occludin,19822,578,1.64 [1.40-1.92],1.0047262379349247e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,OGN,Mimecan,22933,677,1.54 [1.33-1.79],1.2528125498781308e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,OSCAR,Osteoclast-associated immunoglobulin-like receptor,22926,677,1.79 [1.47-2.18],8.29580325897784e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PDCD1,Programmed cell death protein 1,23076,682,1.65 [1.44-1.90],1.6079408316207817e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PGA4,Pepsin A-4,19885,575,1.34 [1.21-1.50],7.679785076769339e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PGF,Placenta growth factor,23192,682,2.09 [1.67-2.61],1.3251755457341698e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PIGR,Polymeric immunoglobulin receptor,22637,673,1.98 [1.68-2.35],1.512044349418577e-15
