Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CASP2,Caspase-2,51251,128,1.31 [1.06-1.62],0.01414208718935
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CASP3,Caspase-3,51953,134,1.22 [1.03-1.45],0.0247337213105409
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CASP7,Caspase-7,44513,107,1.26 [1.02-1.56],0.0338195130802159
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CASP9,Caspase-9,43328,110,1.39 [1.09-1.77],0.0070317198718288
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CC2D1A,Coiled-coil and C2 domain-containing protein 1A,50925,129,1.24 [1.01-1.51],0.0365276023806182
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCAR2,Cell cycle and apoptosis regulator protein 2,44513,107,1.31 [1.05-1.63],0.0160147695903793
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,43434,104,1.34 [1.01-1.79],0.0450567602361169
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCL24,C-C motif chemokine 24,51458,128,0.80 [0.66-0.97],0.0259520656011899
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCL26,C-C motif chemokine 26,51251,128,1.17 [1.01-1.35],0.0350961479793813
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCN4,CCN family member 4,51760,132,2.07 [1.50-2.86],1.082398560519332e-05
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCT5,T-complex protein 1 subunit epsilon,50112,123,1.51 [1.16-1.97],0.0021499741222523
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD300E,CMRF35-like molecule 2,51594,132,1.54 [1.07-2.21],0.021023746925949
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD36,Platelet glycoprotein 4,43328,110,1.50 [1.03-2.18],0.0351400032438997
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD40,Tumor necrosis factor receptor superfamily member 5,51290,128,1.46 [1.10-1.95],0.0084809397485104
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD46,Membrane cofactor protein,51021,130,1.68 [1.05-2.71],0.0321311986784979
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD63,CD63 antigen,50840,129,1.54 [1.13-2.09],0.0055939385097042
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD69,Early activation antigen CD69,51069,129,1.23 [1.03-1.47],0.0257797163312333
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD84,SLAM family member 5,51251,128,1.70 [1.03-2.79],0.0362377180896351
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD99L2,CD99 antigen-like protein 2,51333,132,2.28 [1.23-4.24],0.0090434444386291
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDA,Cytidine deaminase,44534,109,1.43 [1.02-2.01],0.0397706809794268
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDC26,Anaphase-promoting complex subunit CDC26,44344,108,1.48 [1.17-1.88],0.0012838871929826
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDC27,Cell division cycle protein 27 homolog,50112,123,1.49 [1.19-1.86],0.0004666678410086
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDC37,Hsp90 co-chaperone Cdc37,51481,129,1.23 [1.03-1.48],0.0243567213832157
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDCP1,CUB domain-containing protein 1,50925,129,1.48 [1.12-1.95],0.0058028784830076
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDH17,Cadherin-17,51322,130,0.72 [0.56-0.92],0.0087033699194277
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDH23,Cadherin-23,44513,107,1.95 [1.14-3.34],0.0153409315484137
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDHR2,Cadherin-related family member 2,51091,129,1.30 [1.05-1.60],0.0153959295821622
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDKL5,Cyclin-dependent kinase-like 5,43183,103,1.54 [1.22-1.94],0.0002355582221353
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CDKN1A,Cyclin-dependent kinase inhibitor 1,51091,129,1.21 [1.04-1.40],0.0117501887538974
