Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Allergic rhinitis,DOC2B,Double C2-like domain-containing protein beta,23813,274,1.01 [0.73-1.38],0.973225094579429
Chapter X Diseases of the respiratory system,Allergic rhinitis,DOCK9,Dedicator of cytokinesis protein 9,23718,274,0.96 [0.86-1.07],0.4777355621769226
Chapter X Diseases of the respiratory system,Allergic rhinitis,DOK1,Docking protein 1,24426,280,1.08 [0.99-1.17],0.0924948561770599
Chapter X Diseases of the respiratory system,Allergic rhinitis,DOK2,Docking protein 2,28188,319,1.09 [1.00-1.18],0.039950650096505
Chapter X Diseases of the respiratory system,Allergic rhinitis,DPEP1,Dipeptidase 1,27941,315,1.04 [0.85-1.28],0.706629156215687
Chapter X Diseases of the respiratory system,Allergic rhinitis,DPEP2,Dipeptidase 2,28059,316,1.29 [0.93-1.80],0.1304790466088356
Chapter X Diseases of the respiratory system,Allergic rhinitis,DPP10,Inactive dipeptidyl peptidase 10,28167,320,0.75 [0.56-1.01],0.0613344799822408
Chapter X Diseases of the respiratory system,Allergic rhinitis,DPP4,Dipeptidyl peptidase 4,27618,314,1.00 [0.72-1.40],0.9938429756383468
Chapter X Diseases of the respiratory system,Allergic rhinitis,DPP6,Dipeptidyl aminopeptidase-like protein 6,28059,316,0.92 [0.68-1.23],0.5633127472840496
Chapter X Diseases of the respiratory system,Allergic rhinitis,DPP7,Dipeptidyl peptidase 2,27947,316,1.13 [0.96-1.33],0.1497214518908188
Chapter X Diseases of the respiratory system,Allergic rhinitis,DPT,Dermatopontin,28533,325,0.83 [0.58-1.18],0.2972344260758333
Chapter X Diseases of the respiratory system,Allergic rhinitis,DPY30,Protein dpy-30 homolog,28360,320,1.04 [0.89-1.22],0.6331328310361628
Chapter X Diseases of the respiratory system,Allergic rhinitis,DRAXIN,Draxin,27990,315,1.11 [0.88-1.41],0.3693193682323302
Chapter X Diseases of the respiratory system,Allergic rhinitis,DRG2,Developmentally-regulated GTP-binding protein 2,28059,316,1.15 [0.97-1.36],0.105004614399751
Chapter X Diseases of the respiratory system,Allergic rhinitis,DSC2,Desmocollin-2,27833,314,0.95 [0.70-1.29],0.7577794116838056
Chapter X Diseases of the respiratory system,Allergic rhinitis,DSCAM,Down syndrome cell adhesion molecule,24461,280,1.20 [0.88-1.64],0.2552588078600519
