Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL25,C-C motif chemokine 25,40081,1081,1.36 [1.22-1.52],3.3328973934273603e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL27,C-C motif chemokine 27,39627,1078,1.17 [1.07-1.28],0.0004995919574979
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL28,C-C motif chemokine 28,39442,1064,1.18 [1.08-1.29],0.0001973469639949
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL3,C-C motif chemokine 3,39578,1069,1.15 [1.07-1.23],6.513419090937077e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL5,C-C motif chemokine 5,39808,1079,1.08 [1.03-1.14],0.0027134822235978
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCL7,C-C motif chemokine 7,39578,1069,1.15 [1.06-1.25],0.000993734418236
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCN3,CCN family member 3,40073,1086,1.33 [1.14-1.55],0.0003189185078378
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CCN4,CCN family member 4,39994,1080,1.22 [1.08-1.39],0.00211223492761
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD14,Monocyte differentiation antigen CD14,38844,1058,1.31 [1.15-1.50],4.961971838280064e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD160,CD160 antigen,40081,1081,1.17 [1.05-1.31],0.0052063690048356
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD163,Scavenger receptor cysteine-rich type 1 protein M130,39808,1079,1.37 [1.21-1.54],3.791600285724629e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD164,Sialomucin core protein 24,39670,1074,1.35 [1.15-1.58],0.0002713800270575
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD1C,T-cell surface glycoprotein CD1c,39767,1072,0.70 [0.56-0.87],0.001148612621414
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD207,C-type lectin domain family 4 member K,38806,1042,1.22 [1.06-1.40],0.0064071992131617
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD22,B-cell receptor CD22,40081,1081,1.22 [1.08-1.38],0.0017083847924461
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD27,CD27 antigen,39767,1072,1.78 [1.58-2.00],2.389585839287198e-22
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD274,Programmed cell death 1 ligand 1,39375,1069,1.57 [1.36-1.82],7.078825879006361e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD276,CD276 antigen,39611,1069,1.34 [1.15-1.56],0.0002276417752524
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD28,T-cell-specific surface glycoprotein CD28,38741,1047,1.30 [1.13-1.48],0.0001781574665919
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD300A,CMRF35-like molecule 8,33792,903,1.61 [1.31-1.99],8.365603389655329e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD300C,CMRF35-like molecule 6,39999,1079,1.59 [1.37-1.84],4.73281248103368e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD300E,CMRF35-like molecule 2,39865,1078,1.53 [1.35-1.73],3.8030792638010735e-11
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD300LF,CMRF35-like molecule 1,39994,1080,1.16 [1.06-1.27],0.0009903949430142
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD302,CD302 antigen,39505,1065,1.91 [1.63-2.24],9.280869663278959e-16
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD34,Hematopoietic progenitor cell antigen CD34,39870,1078,0.71 [0.57-0.89],0.002783705998428
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,39505,1065,1.43 [1.21-1.69],2.251569448598569e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD3D,T-cell surface glycoprotein CD3 delta chain,33444,898,1.34 [1.16-1.53],3.6697813844679e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD4,T-cell surface glycoprotein CD4,39509,1066,1.46 [1.27-1.68],2.0592245740294805e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD40,Tumor necrosis factor receptor superfamily member 5,39606,1068,1.19 [1.07-1.32],0.0014476548871045
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD46,Membrane cofactor protein,39414,1068,1.47 [1.23-1.76],2.8531300839525605e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD48,CD48 antigen,39740,1071,1.61 [1.35-1.92],8.304572718757836e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD5,T-cell surface glycoprotein CD5,39933,1079,1.45 [1.27-1.66],3.1551615667342395e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD55,Complement decay-accelerating factor,38287,1043,1.37 [1.12-1.68],0.0019351428453454
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD59,CD59 glycoprotein,38215,1019,1.72 [1.38-2.15],1.361166125602356e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD5L,CD5 antigen-like,34383,919,1.24 [1.09-1.42],0.0011549737803417
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD70,CD70 antigen,39578,1069,1.30 [1.15-1.47],2.593481154671723e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD72,B-cell differentiation antigen CD72,33792,903,1.65 [1.44-1.89],4.155950211993125e-13
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD74,HLA class II histocompatibility antigen gamma chain,39999,1079,1.87 [1.61-2.16],5.049899593921785e-17
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD79B,B-cell antigen receptor complex-associated protein beta chain,40081,1081,1.51 [1.36-1.68],2.277734837690361e-14
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD80,T-lymphocyte activation antigen CD80,34550,917,1.88 [1.59-2.21],1.0578792857753209e-13
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD83,CD83 antigen,39578,1069,1.77 [1.53-2.05],3.6081521689305214e-14
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD93,Complement component C1q receptor,38125,1040,1.27 [1.06-1.51],0.0089711937656577
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD99,CD99 antigen,39670,1074,1.59 [1.21-2.08],0.0008619288645832
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CD99L2,CD99 antigen-like protein 2,39670,1074,1.64 [1.31-2.04],1.2195521814856096e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CDCP1,CUB domain-containing protein 1,39375,1069,1.38 [1.26-1.52],2.3668172811285567e-11
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CDH1,Cadherin-1,38366,1046,1.33 [1.18-1.50],2.314498350091519e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CDH17,Cadherin-17,39627,1078,1.11 [1.03-1.20],0.0063372308510873
