Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SERPINA3,Alpha-1-antichymotrypsin,34011,470,2.96 [1.84-4.76],8.121803619028685e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SERPINB8,Serpin B8,39553,553,1.28 [1.16-1.41],1.5983408153104549e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SERPIND1,Heparin cofactor 2,34057,470,1.52 [1.11-2.07],0.0086152673171477
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SERPINF1,Pigment epithelium-derived factor,33602,464,2.04 [1.49-2.79],8.163400960819102e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SEZ6L2,Seizure 6-like protein 2,38986,546,1.68 [1.26-2.25],0.0004210130954211
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SFTPA2,Pulmonary surfactant-associated protein A2,38229,535,1.30 [1.14-1.49],0.0001332507909945
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SHISA5,Protein shisa-5,34094,466,1.88 [1.45-2.45],2.4700070703919256e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SHPK,Sedoheptulokinase,33476,463,0.65 [0.50-0.85],0.001469197739101
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SIGLEC1,Sialoadhesin,39278,548,1.58 [1.33-1.88],2.7684419579917856e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SIGLEC10,Sialic acid-binding Ig-like lectin 10,39058,549,2.16 [1.79-2.60],5.947109983309077e-16
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SIGLEC6,Sialic acid-binding Ig-like lectin 6,39465,551,1.49 [1.20-1.84],0.0002684149798276
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SIGLEC7,Sialic acid-binding Ig-like lectin 7,39095,546,1.57 [1.20-2.05],0.0008848295823738
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SIGLEC8,Sialic acid-binding Ig-like lectin 8,33198,452,1.53 [1.26-1.86],1.5478830861496127e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SIGLEC9,Sialic acid-binding Ig-like lectin 9,39404,550,1.46 [1.13-1.87],0.0034645329168967
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,39213,549,1.21 [1.05-1.39],0.0074215758534697
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SIRPB1,Signal-regulatory protein beta-1,39027,545,1.63 [1.39-1.91],1.506718946212839e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SIT1,Signaling threshold-regulating transmembrane adapter 1,38400,534,1.36 [1.19-1.55],7.875564891502317e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SLAMF1,Signaling lymphocytic activation molecule,38400,534,1.27 [1.11-1.44],0.0003191312479197
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SLAMF7,SLAM family member 7,39058,549,1.21 [1.06-1.37],0.0033602560999066
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SLAMF8,SLAM family member 8,38229,535,1.40 [1.21-1.62],7.690179732697849e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SLC28A1,Sodium/nucleoside cotransporter 1,32902,453,1.22 [1.07-1.39],0.0035163714634272
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SMOC1,SPARC-related modular calcium-binding protein 1,39465,551,1.90 [1.52-2.36],1.1451702982884234e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SMPD1,Sphingomyelin phosphodiesterase,39275,549,1.28 [1.11-1.49],0.0008988220096534
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SNRPB2,U2 small nuclear ribonucleoprotein B'',34021,471,1.30 [1.15-1.49],6.284041936024777e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SORCS2,VPS10 domain-containing receptor SorCS2,38229,535,1.83 [1.51-2.24],1.742636161043401e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SPINK1,Serine protease inhibitor Kazal-type 1,39137,541,1.62 [1.39-1.89],3.74666079764561e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SPINK4,Serine protease inhibitor Kazal-type 4,39058,549,1.34 [1.21-1.50],5.873524579988124e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SPINT1,Kunitz-type protease inhibitor 1,39006,541,2.11 [1.66-2.68],1.3028238184791032e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SPON1,Spondin-1,39149,547,1.72 [1.39-2.12],3.735532683003501e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SPON2,Spondin-2,38898,545,1.97 [1.61-2.42],7.629746102171491e-11
