Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LAYN,Layilin,26286,759,1.98 [1.67-2.35],3.98966343724272e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LGALS4,Galectin-4,26516,773,1.44 [1.29-1.61],2.8176880145588397e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LGALS9,Galectin-9,26516,775,2.25 [1.87-2.70],3.683471738542508e-18
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,25995,750,1.70 [1.47-1.96],2.927758585826122e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LRP11,Low-density lipoprotein receptor-related protein 11,26526,771,1.81 [1.52-2.15],1.8446810563341403e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,LTBR,Tumor necrosis factor receptor superfamily member 3,26393,772,2.41 [1.96-2.96],7.507593788154655e-17
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,MME,Neprilysin,26406,770,1.26 [1.18-1.36],2.9803177804317343e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NBL1,Neuroblastoma suppressor of tumorigenicity 1,26615,772,2.11 [1.67-2.66],2.8421515353906845e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,23004,670,1.96 [1.59-2.41],3.455485716366743e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NECTIN2,Nectin-2,26483,771,2.32 [1.89-2.84],5.667865654396048e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,NPDC1,Neural proliferation differentiation and control protein 1,26526,771,1.85 [1.55-2.22],2.1218176156344434e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,OCLN,Occludin,23098,674,1.74 [1.49-2.02],6.214416946273385e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,OGN,Mimecan,26515,770,1.64 [1.41-1.90],1.3937057532873092e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PDCD1,Programmed cell death protein 1,26703,770,1.65 [1.45-1.88],1.9647722027531536e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PGF,Placenta growth factor,26796,771,2.12 [1.77-2.54],4.701994282972034e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,26515,770,2.21 [1.78-2.75],7.81861990343678e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PILRA,Paired immunoglobulin-like type 2 receptor alpha,26515,770,1.66 [1.42-1.94],1.7952684265720267e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PLA2G15,Phospholipase A2 group XV,26615,772,2.21 [1.74-2.80],6.930781026661076e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PLAUR,Urokinase plasminogen activator surface receptor,26346,771,2.24 [1.80-2.79],9.003961672554781e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,POF1B,Protein POF1B,22475,659,1.53 [1.34-1.74],2.336117206860441e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PTGDS,Prostaglandin-H2 D-isomerase,26311,769,2.31 [1.92-2.78],9.984423469358896e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RELT,Tumor necrosis factor receptor superfamily member 19L,26515,770,2.28 [1.84-2.83],5.319669613280512e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RNASE6,Ribonuclease K6,22962,672,1.82 [1.50-2.20],6.827891915811241e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RNASET2,Ribonuclease T2,26726,771,2.24 [1.81-2.77],1.164469812946118e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RNF149,E3 ubiquitin-protein ligase RNF149,22533,651,2.08 [1.66-2.60],1.551336791446118e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SCARB2,Lysosome membrane protein 2,25851,750,1.93 [1.60-2.34],1.2382781987454139e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SIRPB1,Signal-regulatory protein beta-1,26477,772,1.59 [1.39-1.83],5.3037269588388186e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SLAMF8,SLAM family member 8,25896,756,1.53 [1.35-1.73],2.429507646022024e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SMOC1,SPARC-related modular calcium-binding protein 1,26742,774,2.28 [1.89-2.75],3.4335084842924712e-18
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SORCS2,VPS10 domain-containing receptor SorCS2,25896,756,1.73 [1.46-2.06],4.4197138447962367e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TGFBR2,TGF-beta receptor type-2,26615,772,2.19 [1.85-2.60],2.674319605162069e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNF,Tumor necrosis factor,25993,757,1.47 [1.31-1.65],1.2811809740558022e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,26334,761,2.29 [1.93-2.71],1.6075291010832789e-21
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,26334,761,1.36 [1.24-1.50],1.906502252915316e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,26796,771,1.83 [1.57-2.13],7.4817038955673e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,26615,772,1.74 [1.46-2.06],2.6010005035538794e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,26563,774,2.16 [1.78-2.63],1.3755506591043284e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,26515,770,2.51 [2.06-3.04],1.5869465237855714e-20
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,26515,770,1.63 [1.44-1.85],1.797018567500023e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,26756,770,1.99 [1.72-2.30],3.8275198352498134e-20
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,26334,761,1.53 [1.39-1.69],7.303537414462891e-17
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,26742,771,1.53 [1.35-1.74],3.370586738337363e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,26334,761,1.86 [1.63-2.13],1.0692526420312846e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,26806,776,2.05 [1.68-2.50],1.1102943362954956e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ULBP2,UL16-binding protein 2,26334,761,1.77 [1.51-2.08],2.734058382760642e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,VAMP5,Vesicle-associated membrane protein 5,26039,761,1.35 [1.23-1.48],2.5447477351537585e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,VSIG4,V-set and immunoglobulin domain-containing protein 4,26481,769,1.95 [1.69-2.26],1.5777145269999017e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,WFDC2,WAP four-disulfide core domain protein 2,25160,732,1.63 [1.40-1.89],1.3793494933475549e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,XCL1,Lymphotactin,26742,774,1.35 [1.23-1.48],3.0584554605565114e-10
