Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastric ulcer,CLEC14A,C-type lectin domain family 14 member A,17991,156,2.20 [1.48-3.27],0.0001047486034007
Chapter XI Diseases of the digestive system,Gastric ulcer,CLEC4D,C-type lectin domain family 4 member D,17959,161,1.55 [1.27-1.91],2.5640347219450103e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,CLGN,Calmegin,15193,125,1.62 [1.22-2.15],0.0007571536167157
Chapter XI Diseases of the digestive system,Gastric ulcer,COL18A1,Collagen alpha-1(XVIII) chain,18049,161,3.37 [1.97-5.77],9.644738648798242e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,COL5A1,Collagen alpha-1(V) chain,15282,126,2.05 [1.50-2.81],6.139343366802104e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,COL6A3,Collagen alpha-3(VI) chain,18205,161,2.19 [1.60-2.99],8.824594202080807e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,COLEC12,Collectin-12,17949,160,2.76 [1.76-4.31],8.525565024425772e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,CRELD1,Protein disulfide isomerase CRELD1,15282,126,2.99 [1.96-4.54],3.318133596715517e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,CRIM1,Cysteine-rich motor neuron 1 protein,18039,160,4.59 [2.52-8.37],6.68052200162276e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,CSF1,Macrophage colony-stimulating factor 1,18039,160,4.08 [2.62-6.36],5.652186912296411e-10
Chapter XI Diseases of the digestive system,Gastric ulcer,CST3,Cystatin-C,18038,159,2.47 [1.65-3.69],1.137823002603526e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,CSTB,Cystatin-B,17734,155,2.01 [1.50-2.69],2.585039673547347e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,CTSD,Cathepsin D,16867,153,1.74 [1.31-2.31],0.0001266963273602
Chapter XI Diseases of the digestive system,Gastric ulcer,CTSL,Cathepsin L1,17975,160,4.00 [2.47-6.49],1.9754318483805322e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,CXADR,Coxsackievirus and adenovirus receptor,17959,161,1.83 [1.42-2.36],3.3280093859419017e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,CXCL10,C-X-C motif chemokine 10,18039,160,1.37 [1.15-1.65],0.0005737659716404
Chapter XI Diseases of the digestive system,Gastric ulcer,CXCL9,C-X-C motif chemokine 9,18039,160,1.54 [1.30-1.84],1.1178430277482969e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",18030,159,2.00 [1.35-2.95],0.0004794796574544
Chapter XI Diseases of the digestive system,Gastric ulcer,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",17917,160,1.77 [1.34-2.33],5.2198251824254094e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,DLL1,Delta-like protein 1,18030,159,2.47 [1.65-3.69],9.677353623481868e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,DPP10,Inactive dipeptidyl peptidase 10,17959,161,1.80 [1.31-2.49],0.0003400611728836
Chapter XI Diseases of the digestive system,Gastric ulcer,DSC2,Desmocollin-2,17771,155,2.11 [1.45-3.06],8.435599389543693e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,DTNB,Dystrobrevin beta,15544,128,1.87 [1.40-2.49],2.2927437511604883e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,EDA2R,Tumor necrosis factor receptor superfamily member 27,18143,163,2.09 [1.57-2.80],5.969739419559729e-07
