Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Dental caries,LGALS3BP,Galectin-3-binding protein,23916,233,1.72 [1.25-2.36],0.0009233412119792
Chapter XI Diseases of the digestive system,Dental caries,LGALS9,Galectin-9,27454,271,1.60 [1.17-2.20],0.0033598139107741
Chapter XI Diseases of the digestive system,Dental caries,LGMN,Legumain,27593,273,1.48 [1.12-1.96],0.0062600156349326
Chapter XI Diseases of the digestive system,Dental caries,LILRA2,Leukocyte immunoglobulin-like receptor subfamily A member 2,27460,269,1.71 [1.25-2.32],0.0007013488592877
Chapter XI Diseases of the digestive system,Dental caries,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,27449,269,2.43 [1.80-3.29],8.645210941854856e-09
Chapter XI Diseases of the digestive system,Dental caries,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,26969,270,1.66 [1.31-2.11],3.263911427801853e-05
Chapter XI Diseases of the digestive system,Dental caries,LRG1,Leucine-rich alpha-2-glycoprotein,23916,233,1.89 [1.19-2.99],0.0067347373800754
Chapter XI Diseases of the digestive system,Dental caries,LTBR,Tumor necrosis factor receptor superfamily member 3,27300,271,1.70 [1.19-2.44],0.0039352088829182
Chapter XI Diseases of the digestive system,Dental caries,LY6D,Lymphocyte antigen 6D,27302,268,1.43 [1.09-1.87],0.0096129697312156
Chapter XI Diseases of the digestive system,Dental caries,MAP2,Microtubule-associated protein 2,23811,233,1.37 [1.08-1.73],0.0091214218185365
Chapter XI Diseases of the digestive system,Dental caries,MCAM,Cell surface glycoprotein MUC18,27552,273,0.63 [0.45-0.86],0.0041002281591299
Chapter XI Diseases of the digestive system,Dental caries,MDK,Midkine,27453,269,1.28 [1.06-1.55],0.0095813729244262
Chapter XI Diseases of the digestive system,Dental caries,MEP1B,Meprin A subunit beta,27482,269,0.89 [0.81-0.97],0.0090783496296351
Chapter XI Diseases of the digestive system,Dental caries,MFAP3L,Microfibrillar-associated protein 3-like,23217,229,1.23 [1.06-1.42],0.0071948649629205
Chapter XI Diseases of the digestive system,Dental caries,MMP12,Macrophage metalloelastase,27517,270,1.31 [1.07-1.60],0.0080388241685791
Chapter XI Diseases of the digestive system,Dental caries,MRC1,Macrophage mannose receptor 1,23905,232,1.76 [1.15-2.68],0.0087658313204252
Chapter XI Diseases of the digestive system,Dental caries,MSTN,Growth/differentiation factor 8,26993,265,0.74 [0.61-0.91],0.0046819360771462
Chapter XI Diseases of the digestive system,Dental caries,MZB1,Marginal zone B- and B1-cell-specific protein,27543,273,1.51 [1.23-1.83],5.1582863659923365e-05
Chapter XI Diseases of the digestive system,Dental caries,NCAM1,Neural cell adhesion molecule 1,27552,273,0.63 [0.45-0.89],0.0097792506797838
Chapter XI Diseases of the digestive system,Dental caries,NECTIN1,Nectin-1,23201,230,1.51 [1.13-2.01],0.0058353374695185
Chapter XI Diseases of the digestive system,Dental caries,NECTIN2,Nectin-2,27449,269,2.08 [1.49-2.90],1.6673775558959503e-05
Chapter XI Diseases of the digestive system,Dental caries,NEFL,Neurofilament light polypeptide,26747,264,1.65 [1.34-2.03],2.194294076452417e-06
Chapter XI Diseases of the digestive system,Dental caries,NFAT5,Nuclear factor of activated T-cells 5,23201,230,1.20 [1.06-1.37],0.0052439747370158
Chapter XI Diseases of the digestive system,Dental caries,NOS1,"Nitric oxide synthase, brain",26832,264,1.29 [1.07-1.55],0.0072031553329698
Chapter XI Diseases of the digestive system,Dental caries,NOS3,"Nitric oxide synthase, endothelial",26832,264,1.34 [1.12-1.60],0.0013972119250285
Chapter XI Diseases of the digestive system,Dental caries,NPDC1,Neural proliferation differentiation and control protein 1,27482,269,1.63 [1.20-2.22],0.0019024876102607
Chapter XI Diseases of the digestive system,Dental caries,NTRK3,NT-3 growth factor receptor,27735,271,0.49 [0.30-0.79],0.0032519234959478
Chapter XI Diseases of the digestive system,Dental caries,OCLN,Occludin,23844,233,1.67 [1.30-2.14],5.1019952836183775e-05
Chapter XI Diseases of the digestive system,Dental caries,OGN,Mimecan,27460,269,1.44 [1.11-1.87],0.0058226198412647
Chapter XI Diseases of the digestive system,Dental caries,OMG,Oligodendrocyte-myelin glycoprotein,27362,270,0.81 [0.69-0.95],0.0093913249698709
Chapter XI Diseases of the digestive system,Dental caries,ORM1,Alpha-1-acid glycoprotein 1,23834,232,2.36 [1.31-4.26],0.004237787484458
Chapter XI Diseases of the digestive system,Dental caries,OSCAR,Osteoclast-associated immunoglobulin-like receptor,27502,273,1.61 [1.17-2.22],0.0034111424306834
Chapter XI Diseases of the digestive system,Dental caries,OSMR,Oncostatin-M-specific receptor subunit beta,27605,273,2.16 [1.30-3.58],0.0029182488269375
Chapter XI Diseases of the digestive system,Dental caries,PALM2,Paralemmin-2,23811,233,1.53 [1.15-2.03],0.003728480200294
Chapter XI Diseases of the digestive system,Dental caries,PDCD1,Programmed cell death protein 1,27681,272,1.48 [1.17-1.87],0.0012153708003666
Chapter XI Diseases of the digestive system,Dental caries,PDZD2,PDZ domain-containing protein 2,23123,227,1.27 [1.06-1.52],0.0082144738391033
Chapter XI Diseases of the digestive system,Dental caries,PGF,Placenta growth factor,27809,271,1.69 [1.28-2.24],0.0002394666907773
Chapter XI Diseases of the digestive system,Dental caries,PGM2,Phosphoglucomutase-2,23217,229,1.24 [1.06-1.45],0.0083050245089801
Chapter XI Diseases of the digestive system,Dental caries,PI3,Elafin,27093,262,1.51 [1.28-1.79],1.2926233880351398e-06
Chapter XI Diseases of the digestive system,Dental caries,PIGR,Polymeric immunoglobulin receptor,27111,267,1.59 [1.22-2.06],0.0005605438684471
Chapter XI Diseases of the digestive system,Dental caries,PILRA,Paired immunoglobulin-like type 2 receptor alpha,27460,269,1.62 [1.25-2.10],0.0002438947662443
Chapter XI Diseases of the digestive system,Dental caries,PILRB,Paired immunoglobulin-like type 2 receptor beta,27482,269,1.42 [1.16-1.73],0.0006737895046751
Chapter XI Diseases of the digestive system,Dental caries,PKD2,Polycystin-2,23123,227,1.28 [1.06-1.54],0.009733609269499
Chapter XI Diseases of the digestive system,Dental caries,PLA2G15,Phospholipase A2 group XV,27540,270,2.09 [1.44-3.04],0.0001062644589042
Chapter XI Diseases of the digestive system,Dental caries,PLAUR,Urokinase plasminogen activator surface receptor,27269,268,1.75 [1.22-2.51],0.0022389720613199
Chapter XI Diseases of the digestive system,Dental caries,PLIN3,Perilipin-3,27482,269,1.45 [1.15-1.81],0.0014853481177427
Chapter XI Diseases of the digestive system,Dental caries,PON3,Serum paraoxonase/lactonase 3,27593,273,0.69 [0.56-0.85],0.0004799443875451
Chapter XI Diseases of the digestive system,Dental caries,PSAP,Prosaposin,23657,232,1.71 [1.19-2.46],0.0034560882848063
Chapter XI Diseases of the digestive system,Dental caries,PTGDS,Prostaglandin-H2 D-isomerase,27254,270,1.69 [1.22-2.34],0.0017310027094382
Chapter XI Diseases of the digestive system,Dental caries,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,27293,263,1.24 [1.09-1.42],0.0011678741204507
Chapter XI Diseases of the digestive system,Dental caries,RARRES2,Retinoic acid receptor responder protein 2,27605,273,1.45 [1.20-1.75],0.0001018036608244
Chapter XI Diseases of the digestive system,Dental caries,RBFOX3,RNA binding protein fox-1 homolog 3,23844,233,1.52 [1.16-2.00],0.0022382338192275
Chapter XI Diseases of the digestive system,Dental caries,REEP4,Receptor expression-enhancing protein 4,23844,233,1.29 [1.08-1.54],0.0049670212323808
Chapter XI Diseases of the digestive system,Dental caries,RELT,Tumor necrosis factor receptor superfamily member 19L,27460,269,2.07 [1.43-2.99],0.0001012118478959
Chapter XI Diseases of the digestive system,Dental caries,REN,Renin,27482,269,1.36 [1.19-1.55],6.844260842825652e-06
Chapter XI Diseases of the digestive system,Dental caries,RNASE1,Ribonuclease pancreatic,23905,232,1.93 [1.21-3.09],0.0057257210922843
Chapter XI Diseases of the digestive system,Dental caries,RNASE6,Ribonuclease K6,23734,230,1.60 [1.12-2.30],0.0097541665875929
Chapter XI Diseases of the digestive system,Dental caries,SCAMP3,Secretory carrier-associated membrane protein 3,27362,270,1.23 [1.09-1.39],0.0009307926665462
Chapter XI Diseases of the digestive system,Dental caries,SCARF1,Scavenger receptor class F member 1,27812,272,1.42 [1.12-1.80],0.0039554141301306
Chapter XI Diseases of the digestive system,Dental caries,SDC1,Syndecan-1,27482,269,1.40 [1.11-1.76],0.0041869805532944
Chapter XI Diseases of the digestive system,Dental caries,SELENOP,Selenoprotein P,23916,233,0.47 [0.27-0.82],0.0081768066163687
Chapter XI Diseases of the digestive system,Dental caries,SEPTIN8,Septin-8,23758,231,1.87 [1.38-2.54],5.291191913660303e-05
Chapter XI Diseases of the digestive system,Dental caries,SERPINA1,Alpha-1-antitrypsin,23489,232,6.22 [2.16-17.90],0.0007054320634106
Chapter XI Diseases of the digestive system,Dental caries,SERPINA11,Serpin A11,27812,272,1.88 [1.45-2.45],2.2033940829858264e-06
Chapter XI Diseases of the digestive system,Dental caries,SERPINA3,Alpha-1-antichymotrypsin,23839,230,2.77 [1.50-5.09],0.0010818772409379
Chapter XI Diseases of the digestive system,Dental caries,SHISA5,Protein shisa-5,23874,233,2.17 [1.48-3.19],7.931089036811022e-05
Chapter XI Diseases of the digestive system,Dental caries,SIRPB1,Signal-regulatory protein beta-1,27398,273,1.47 [1.16-1.85],0.0012794279004715
Chapter XI Diseases of the digestive system,Dental caries,SPON2,Spondin-2,27348,268,1.93 [1.43-2.60],1.8431248289438245e-05
Chapter XI Diseases of the digestive system,Dental caries,SPRING1,SREBP regulating gene protein,23035,223,1.26 [1.06-1.50],0.009894739887119
Chapter XI Diseases of the digestive system,Dental caries,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",27812,272,1.65 [1.17-2.34],0.0044620967152611
Chapter XI Diseases of the digestive system,Dental caries,STX4,Syntaxin-4,27362,270,1.28 [1.12-1.47],0.000268812362455
Chapter XI Diseases of the digestive system,Dental caries,STX6,Syntaxin-6,26813,258,1.21 [1.06-1.40],0.006504912771274
Chapter XI Diseases of the digestive system,Dental caries,TDRKH,Tudor and KH domain-containing protein,26832,264,1.18 [1.05-1.33],0.0068677572093462
Chapter XI Diseases of the digestive system,Dental caries,TGFA,Protransforming growth factor alpha,27463,266,1.54 [1.26-1.88],2.9084154343734365e-05
Chapter XI Diseases of the digestive system,Dental caries,TGFB1,Transforming growth factor beta-1 proprotein,27761,269,1.48 [1.14-1.92],0.0033920660225615
Chapter XI Diseases of the digestive system,Dental caries,THY1,Thy-1 membrane glycoprotein,27735,271,1.72 [1.18-2.51],0.0047386037713187
Chapter XI Diseases of the digestive system,Dental caries,TIMD4,T-cell immunoglobulin and mucin domain-containing protein 4,27552,273,1.45 [1.14-1.84],0.002154663484329
Chapter XI Diseases of the digestive system,Dental caries,TIMP1,Metalloproteinase inhibitor 1,27150,268,1.92 [1.36-2.72],0.0002038762545721
Chapter XI Diseases of the digestive system,Dental caries,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,27540,270,1.56 [1.18-2.08],0.00208450385432
Chapter XI Diseases of the digestive system,Dental caries,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,27502,273,1.77 [1.27-2.47],0.0007600359433967
Chapter XI Diseases of the digestive system,Dental caries,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,27460,269,2.18 [1.55-3.06],6.235210336748194e-06
Chapter XI Diseases of the digestive system,Dental caries,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,27460,269,1.49 [1.21-1.83],0.0001770627176243
Chapter XI Diseases of the digestive system,Dental caries,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,27293,263,1.31 [1.10-1.57],0.003145484287447
Chapter XI Diseases of the digestive system,Dental caries,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,27293,263,1.54 [1.21-1.97],0.0004870966128349
Chapter XI Diseases of the digestive system,Dental caries,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,27758,272,1.67 [1.16-2.39],0.0053195002865504
Chapter XI Diseases of the digestive system,Dental caries,TYMP,Thymidine phosphorylase,27311,265,1.27 [1.09-1.48],0.0028299305704589
Chapter XI Diseases of the digestive system,Dental caries,ULBP2,UL16-binding protein 2,27293,263,1.68 [1.28-2.20],0.0001797652022961
Chapter XI Diseases of the digestive system,Dental caries,UNC79,Protein unc-79 homolog,23035,223,1.44 [1.21-1.72],3.3863014787944575e-05
Chapter XI Diseases of the digestive system,Dental caries,VEGFA,Vascular endothelial growth factor A,27715,267,1.34 [1.13-1.59],0.000937195777309
Chapter XI Diseases of the digestive system,Dental caries,VSIG4,V-set and immunoglobulin domain-containing protein 4,27424,268,1.65 [1.27-2.14],0.0001969205771879
Chapter XI Diseases of the digestive system,Dental caries,VWA1,von Willebrand factor A domain-containing protein 1,27687,272,1.38 [1.08-1.75],0.0090726205858654
Chapter XI Diseases of the digestive system,Dental caries,WFDC2,WAP four-disulfide core domain protein 2,26064,251,1.81 [1.41-2.32],3.474333389094361e-06
