Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SH2D1A,SH2 domain-containing protein 1A,25851,142,1.21 [0.96-1.51],0.1064146618980484
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SH3BGRL2,SH3 domain-binding glutamic acid-rich-like protein 2,21845,122,0.89 [0.65-1.21],0.4489898762213808
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SH3BP1,SH3 domain-binding protein 1,22460,126,1.22 [0.90-1.65],0.2075219469718849
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SH3GL3,Endophilin-A3,22041,125,1.01 [0.83-1.24],0.9056893758624444
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SH3GLB2,Endophilin-B2,22530,126,1.17 [0.91-1.49],0.2199881266156552
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SHBG,Sex hormone-binding globulin,22590,128,0.75 [0.55-1.01],0.0580771091268011
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SHC1,SHC-transforming protein 1,21758,122,0.90 [0.76-1.05],0.1826628931574301
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SHD,SH2 domain-containing adapter protein D,21808,113,1.04 [0.86-1.27],0.6760002400329332
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SHH,Sonic hedgehog protein,21938,122,1.08 [0.74-1.60],0.681056731476747
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SHISA5,Protein shisa-5,22574,127,1.24 [0.65-2.38],0.5156980951951219
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SHMT1,"Serine hydroxymethyltransferase, cytosolic",25966,141,1.06 [0.90-1.26],0.4855424987945458
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SHPK,Sedoheptulokinase,22159,126,0.99 [0.66-1.49],0.9740188996501634
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIAE,Sialate O-acetylesterase,25942,142,1.72 [1.27-2.31],0.0004194252938057
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIGLEC1,Sialoadhesin,26010,141,1.43 [1.02-2.00],0.0400687469656978
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIGLEC10,Sialic acid-binding Ig-like lectin 10,25851,142,1.54 [1.00-2.37],0.0526879611352757
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIGLEC15,Sialic acid-binding Ig-like lectin 15,25259,140,1.00 [0.83-1.21],0.9773470355732828
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIGLEC5,Sialic acid-binding Ig-like lectin 5,25888,143,1.08 [0.94-1.24],0.2981120784519562
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIGLEC6,Sialic acid-binding Ig-like lectin 6,26110,142,1.04 [0.67-1.63],0.8496229376378157
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIGLEC7,Sialic acid-binding Ig-like lectin 7,25898,143,1.53 [0.91-2.57],0.1117509403596162
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIGLEC8,Sialic acid-binding Ig-like lectin 8,22009,127,1.59 [1.10-2.30],0.0143532870566722
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIGLEC9,Sialic acid-binding Ig-like lectin 9,26074,142,1.81 [1.09-3.01],0.0216773561294033
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIL1,Nucleotide exchange factor SIL1,22009,127,1.16 [0.74-1.82],0.5138527342363741
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,25964,142,1.19 [0.90-1.56],0.2192354580920341
