Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20719.Liking for sausages (meat),TIA1,Nucleolysin TIA-1 isoform p40,36036,-0.0471585649425987,0.0163143206825097,-0.0791346334803176,-0.0151824964048797,0.00385689296235755
Diet and food preferences,X20719.Liking for sausages (meat),PODXL,Podocalyxin,36216,-0.360869672152596,0.125070107939824,-0.606007083714652,-0.115732260590541,0.00392184535224644
Diet and food preferences,X20719.Liking for sausages (meat),CBS,Cystathionine beta-synthase,35207,0.132675676863701,0.0461047803006044,0.0423103074745162,0.223041046252886,0.00402000571862972
Diet and food preferences,X20719.Liking for sausages (meat),IDUA,Alpha-L-iduronidase,36318,0.119228888832006,0.0415212582668006,0.0378472226290771,0.200610555034935,0.00409716834891533
Diet and food preferences,X20719.Liking for sausages (meat),CCL18,C-C motif chemokine 18,36153,0.0800975925283808,0.0279347716203152,0.025345440152563,0.134849744904199,0.00415225151255534
Diet and food preferences,X20719.Liking for sausages (meat),RILPL2,RILP-like protein 2,35360,-0.0649684714166016,0.0226764074165166,-0.109414229952974,-0.020522712880229,0.00418388245365226
Diet and food preferences,X20719.Liking for sausages (meat),AXL,Tyrosine-protein kinase receptor UFO,36292,-0.205160322121438,0.0718936829168069,-0.34607194063838,-0.0642487036044968,0.00433436461849572
Diet and food preferences,X20719.Liking for sausages (meat),MTIF3,"Translation initiation factor IF-3, mitochondrial",35325,-0.0718295905293682,0.0252646598901913,-0.121348323914143,-0.0223108571445933,0.00448270265632589
Diet and food preferences,X20719.Liking for sausages (meat),LRRC25,Leucine-rich repeat-containing protein 25,36216,-0.141640530541722,0.0500053988206055,-0.239651112230109,-0.043629948853335,0.00463165858220139
Diet and food preferences,X20719.Liking for sausages (meat),RGS10,Regulator of G-protein signaling 10,35355,-0.104373010996187,0.0369156486852659,-0.176727682419308,-0.0320183395730659,0.00470883742302296
Diet and food preferences,X20719.Liking for sausages (meat),ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,35166,-0.0786771689362612,0.0279235926136862,-0.133407410459086,-0.0239469274134362,0.00485451414714732
Diet and food preferences,X20719.Liking for sausages (meat),THTPA,Thiamine-triphosphatase,35318,-0.0706298977896858,0.0252058381278571,-0.120033340520286,-0.0212264550590859,0.00509269739734903
Diet and food preferences,X20719.Liking for sausages (meat),CXCL1,Growth-regulated alpha protein,36240,-0.0553037479426352,0.0197638818236387,-0.094040956316967,-0.0165665395683033,0.00515243767442549
Diet and food preferences,X20719.Liking for sausages (meat),LPP,Lipoma-preferred partner,35142,-0.0960387478154433,0.0344383894738467,-0.163537991184183,-0.0285395044467037,0.00530865736364529
Diet and food preferences,X20719.Liking for sausages (meat),NEFL,Neurofilament light polypeptide,36071,-0.127986304393645,0.0460159594105088,-0.218177584838242,-0.0377950239490477,0.00542816012739953
Diet and food preferences,X20719.Liking for sausages (meat),GSTA1,Glutathione S-transferase A1,36231,0.0653732753907353,0.023541616685492,0.0192317066871709,0.1115148440943,0.00550214155192253
Diet and food preferences,X20719.Liking for sausages (meat),JPT2,Jupiter microtubule associated homolog 2,35325,-0.0711279211754439,0.025624588911017,-0.121352115441037,-0.0209037269098506,0.00552386855282542
Diet and food preferences,X20719.Liking for sausages (meat),HGF,Hepatocyte growth factor,36327,0.157974425882041,0.0569488366950898,0.0463547059596652,0.269594145804417,0.00555207661881502
Diet and food preferences,X20719.Liking for sausages (meat),PPP2R5A,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,35325,-0.0526568345039062,0.0190130964646244,-0.0899225035745699,-0.0153911654332424,0.00563109359846182
Diet and food preferences,X20719.Liking for sausages (meat),GADD45GIP1,Growth arrest and DNA damage-inducible proteins-interacting protein 1,35207,-0.120055296355465,0.0433818790393334,-0.205083779272558,-0.0350268134383713,0.00566773182226279
Diet and food preferences,X20719.Liking for sausages (meat),CNTN3,Contactin-3,36265,0.173848188234028,0.0628597541051824,0.0506430701878703,0.297053306280185,0.00569567557918422
Diet and food preferences,X20719.Liking for sausages (meat),RTN4IP1,"Reticulon-4-interacting protein 1, mitochondrial",35355,-0.066516388173404,0.0240593653641362,-0.113672744287111,-0.019360032059697,0.00571488073878037
Diet and food preferences,X20719.Liking for sausages (meat),GAS6,Growth arrest-specific protein 6,36316,-0.214504871896805,0.0776919981862892,-0.366781188341932,-0.0622285554516784,0.00577786306015505
Diet and food preferences,X20719.Liking for sausages (meat),LATS1,Serine/threonine-protein kinase LATS1,35166,-0.0731895972062805,0.0265254222551643,-0.125179424826403,-0.0211997695861585,0.00581154970465586
Diet and food preferences,X20719.Liking for sausages (meat),ASS1,Argininosuccinate synthase,35142,0.0826208414473359,0.0300515514926344,0.0237198005217725,0.141521882372899,0.00599026402191128
Diet and food preferences,X20719.Liking for sausages (meat),ATP5F1D,"ATP synthase subunit delta, mitochondrial",35142,-0.114614552324355,0.0418231201518042,-0.196587867821891,-0.0326412368268184,0.00615368182478362
Diet and food preferences,X20719.Liking for sausages (meat),FGFBP1,Fibroblast growth factor-binding protein 1,36292,-0.162971650217137,0.0594985782821537,-0.279588863650158,-0.0463544367841154,0.00617644888948894
Diet and food preferences,X20719.Liking for sausages (meat),TST,Thiosulfate sulfurtransferase,36074,-0.0710250237668086,0.0260110348076938,-0.122006651989888,-0.0200433955437287,0.00633856122096978
Diet and food preferences,X20719.Liking for sausages (meat),FXN,"Frataxin, mitochondrial",36318,-0.0709336868163591,0.0259797909286075,-0.12185407703643,-0.0200132965962885,0.0063424626960959
Diet and food preferences,X20719.Liking for sausages (meat),IGDCC4,Immunoglobulin superfamily DCC subclass member 4,35366,-0.228841450009817,0.0838374553363899,-0.393162862469141,-0.0645200375504925,0.00635942053339682
Diet and food preferences,X20719.Liking for sausages (meat),PPM1F,Protein phosphatase 1F,35360,-0.114553242837835,0.0419686549036139,-0.196811806448919,-0.032294679226752,0.00636116548959901
Diet and food preferences,X20719.Liking for sausages (meat),BCL2L1,Bcl-2-like protein 1,35350,-0.0607732362415449,0.0222890211295412,-0.104459717655446,-0.0170867548276441,0.00641721132367156
Diet and food preferences,X20719.Liking for sausages (meat),ITGB1BP2,Integrin beta-1-binding protein 2,36114,-0.0483334043765234,0.0177341221240491,-0.0830922837396597,-0.0135745250133871,0.0064376268907721
Diet and food preferences,X20719.Liking for sausages (meat),ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,36114,0.0659236168084595,0.0241998202922463,0.0184919690356568,0.113355264581262,0.00646319157952043
Diet and food preferences,X20719.Liking for sausages (meat),AKT2,RAC-beta serine/threonine-protein kinase,35355,-0.0474741429744835,0.0174315096149728,-0.0816399018198302,-0.0133083841291368,0.0064782953049283
Diet and food preferences,X20719.Liking for sausages (meat),BST2,Bone marrow stromal antigen 2,36329,0.104661569711964,0.0385011956269721,0.0291992262830986,0.180123913140829,0.00657576341038344
Diet and food preferences,X20719.Liking for sausages (meat),SELL,L-selectin,35370,-0.25349911169797,0.093269239111256,-0.436306820356032,-0.0706914030399085,0.0065875641607857
Diet and food preferences,X20719.Liking for sausages (meat),TMED8,Protein TMED8,35325,-0.0588211207864564,0.0216805371089885,-0.101314973520074,-0.016327268052839,0.00668466461589939
Diet and food preferences,X20719.Liking for sausages (meat),OGA,Protein O-GlcNAcase,35325,-0.0855909485081763,0.0315737060889773,-0.147475412442572,-0.0237064845737807,0.00673022090271324
Diet and food preferences,X20719.Liking for sausages (meat),LPL,Lipoprotein lipase,36244,-0.111588437920879,0.0411782136328869,-0.192297736641337,-0.0308791392004203,0.00674684735798222
Diet and food preferences,X20719.Liking for sausages (meat),TMEM106A,Transmembrane protein 106A,35323,-0.0863927879770515,0.0319121829617905,-0.148940666582161,-0.0238449093719422,0.00680409438472409
Diet and food preferences,X20719.Liking for sausages (meat),CFI,Complement factor I,35370,0.301235593676838,0.112056378231443,0.0816050923432104,0.520866095010466,0.00720205076638988
Diet and food preferences,X20719.Liking for sausages (meat),VASP,Vasodilator-stimulated phosphoprotein,35359,-0.0816266049956274,0.030376647142958,-0.141164833395825,-0.0220883765954297,0.0072258274464997
Diet and food preferences,X20719.Liking for sausages (meat),CMIP,C-Maf-inducing protein,35323,-0.0711333574946303,0.0264790290700598,-0.123032254471948,-0.019234460517313,0.0072420855463123
Diet and food preferences,X20719.Liking for sausages (meat),S100A12,Protein S100-A12,36137,0.068756629923763,0.0256230948075729,0.0185353641009201,0.118977895746606,0.0073054031172984
Diet and food preferences,X20719.Liking for sausages (meat),PYDC1,Pyrin domain-containing protein 1,35207,-0.13835305500706,0.0515763091151145,-0.239442620872685,-0.0372634891414361,0.00732759413820645
Diet and food preferences,X20719.Liking for sausages (meat),CXCL14,C-X-C motif chemokine 14,36110,0.0872341200569673,0.032524886546872,0.0234853424250983,0.150982897688836,0.00733415551875006
Diet and food preferences,X20719.Liking for sausages (meat),STAM,Signal transducing adapter molecule 1,35323,-0.159413542019102,0.0595974675636391,-0.276224578443834,-0.042602505594369,0.00749642945682546
Diet and food preferences,X20719.Liking for sausages (meat),SCGN,Secretagogin,36110,-0.117255187669056,0.0439326240707217,-0.203363130847671,-0.0311472444904415,0.00762603874114523
Diet and food preferences,X20719.Liking for sausages (meat),PDLIM5,PDZ and LIM domain protein 5,35355,-0.0502477537931563,0.0188375042661299,-0.087169262154771,-0.0133262454315416,0.00766336483876726
Diet and food preferences,X20719.Liking for sausages (meat),CHP1,Calcineurin B homologous protein 1,35168,-0.0818274059232286,0.0307250704624715,-0.142048544029673,-0.0216062678167845,0.00776063171360906
Diet and food preferences,X20719.Liking for sausages (meat),GIPC3,PDZ domain-containing protein GIPC3,35325,-0.0603784838624738,0.0226898296901963,-0.104850550055259,-0.015906417669689,0.00781036069470904
Diet and food preferences,X20719.Liking for sausages (meat),RAB2B,Ras-related protein Rab-2B,35323,-0.0974425044279084,0.0366748511203333,-0.169325212623762,-0.0255597962320551,0.00790605782413303
Diet and food preferences,X20719.Liking for sausages (meat),PDIA4,Protein disulfide-isomerase A4,35366,-0.0971141642002333,0.0365805188698485,-0.168811981185136,-0.0254163472153302,0.00795581237691295
Diet and food preferences,X20719.Liking for sausages (meat),SULT2A1,Bile salt sulfotransferase,36229,0.0976088613931093,0.036905792425038,0.0252735082400349,0.169944214546184,0.00819182753873144
Diet and food preferences,X20719.Liking for sausages (meat),CXCL17,C-X-C motif chemokine 17,36327,0.13080153044974,0.0495285297265894,0.0337256121856245,0.227877448713855,0.00828584945027491
Diet and food preferences,X20719.Liking for sausages (meat),MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,35325,-0.0928457945225056,0.0352183333110928,-0.161873727812248,-0.0238178612327637,0.00840292257471695
Diet and food preferences,X20719.Liking for sausages (meat),ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,36292,-0.131675531927989,0.0499495301281954,-0.229576610979252,-0.0337744528767264,0.00840300314085154
Diet and food preferences,X20719.Liking for sausages (meat),FAM172A,Cotranscriptional regulator FAM172A,35207,-0.0974696523091421,0.0369738556223093,-0.169938409328868,-0.0250008952894159,0.0084061563193504
Diet and food preferences,X20719.Liking for sausages (meat),IL7R,Interleukin-7 receptor subunit alpha,36265,-0.0967132790285983,0.0367974624137571,-0.168836305359562,-0.0245902526976343,0.00860087526066551
Diet and food preferences,X20719.Liking for sausages (meat),CRYZL1,Quinone oxidoreductase-like protein 1,35207,-0.064599664975012,0.0245906472724446,-0.112797333629003,-0.0164019963210206,0.00863598856440034
Diet and food preferences,X20719.Liking for sausages (meat),ENSA,Alpha-endosulfine,35323,-0.111573358342571,0.0425052331728979,-0.194883615361451,-0.0282631013236912,0.00868816631126539
Diet and food preferences,X20719.Liking for sausages (meat),SCLY,Selenocysteine lyase,36300,0.110903800354809,0.0423323564481467,0.0279323817164414,0.193875218993176,0.00881595326534471
Diet and food preferences,X20719.Liking for sausages (meat),GLRX5,"Glutaredoxin-related protein 5, mitochondrial",35224,-0.0668109106881094,0.025505663373053,-0.116802010899293,-0.0168198104769255,0.00882915624006052
Diet and food preferences,X20719.Liking for sausages (meat),AP3B1,AP-3 complex subunit beta-1,35325,-0.0752593134299357,0.0287396989697405,-0.131589123410627,-0.0189295034492443,0.00884950905463601
Diet and food preferences,X20719.Liking for sausages (meat),TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,35350,-0.0666754023031755,0.0254721133305283,-0.116600744431011,-0.0167500601753401,0.00887716337975482
Diet and food preferences,X20719.Liking for sausages (meat),ADH1B,All-trans-retinol dehydrogenase,35224,0.081324999899577,0.0310896686266932,0.0203892493912584,0.142260750407896,0.00892354385256587
Diet and food preferences,X20719.Liking for sausages (meat),NAA10,N-alpha-acetyltransferase 10,35142,-0.114794945062913,0.0438877723151081,-0.200814978800525,-0.0287749113253015,0.00892837195170903
Diet and food preferences,X20719.Liking for sausages (meat),PRDX5,"Peroxiredoxin-5, mitochondrial",36327,-0.0745995154428675,0.0285682663866976,-0.130593317560795,-0.0186057133249402,0.00903951918311728
Diet and food preferences,X20719.Liking for sausages (meat),UFD1,Ubiquitin recognition factor in ER-associated degradation protein 1,35325,-0.0415530823929416,0.0159420619763976,-0.0727995238666809,-0.0103066409192023,0.00916928754433086
Diet and food preferences,X20719.Liking for sausages (meat),PRCP,Lysosomal Pro-X carboxypeptidase,36305,0.167960791452284,0.0644603031570413,0.041618597264483,0.294302985640085,0.00918922734107709
Diet and food preferences,X20719.Liking for sausages (meat),HS1BP3,HCLS1-binding protein 3,35207,-0.0666321889922505,0.0255888024548201,-0.116786241803698,-0.0164781361808032,0.00923807615923858
Diet and food preferences,X20719.Liking for sausages (meat),GATD3,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",35207,-0.0771119571962556,0.029757453742371,-0.135436566531303,-0.0187873478612084,0.00958317978397892
Diet and food preferences,X20719.Liking for sausages (meat),ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,36216,0.121199462557537,0.0468123308655287,0.0294472940611008,0.212951631053973,0.00964399251878347
Diet and food preferences,X20719.Liking for sausages (meat),FBP1,"Fructose-1,6-bisphosphatase 1",36244,0.068746797465933,0.0265534518145301,0.0167020319094541,0.120791563022412,0.00964540496887719
