Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Ulcerative colitis,TIMP1,Metalloproteinase inhibitor 1,25581,130,2.26 [1.43-3.57],0.0004649685902651
Chapter XI Diseases of the digestive system,Ulcerative colitis,TIMP4,Metalloproteinase inhibitor 4,25881,136,1.87 [1.38-2.55],6.28120287788565e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,25876,133,2.73 [1.73-4.31],1.704273428018821e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,26120,134,2.19 [1.58-3.03],2.498671659168415e-06
Chapter XI Diseases of the digestive system,Ulcerative colitis,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,25706,133,1.53 [1.21-1.92],0.0003279178154856
Chapter XI Diseases of the digestive system,Ulcerative colitis,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,26107,136,1.86 [1.42-2.43],6.17286063273776e-06
Chapter XI Diseases of the digestive system,Ulcerative colitis,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,25706,133,1.72 [1.27-2.34],0.000462938796273
Chapter XI Diseases of the digestive system,Ulcerative colitis,TNFSF8,Tumor necrosis factor ligand superfamily member 8,22562,115,2.11 [1.38-3.25],0.0006416210442426
Chapter XI Diseases of the digestive system,Ulcerative colitis,TXNDC15,Thioredoxin domain-containing protein 15,25978,135,2.49 [1.50-4.15],0.0004239982491731
Chapter XI Diseases of the digestive system,Ulcerative colitis,VCAM1,Vascular cell adhesion protein 1,25927,132,2.39 [1.44-3.98],0.0008158460907126
