Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Influenza and pneumonia,ULBP2,UL16-binding protein 2,Inverse variance weighted,37,1.03 [1.01-1.05],0.016280440813097
Chapter X Diseases of the respiratory system,Influenza and pneumonia,LPCAT2,Lysophosphatidylcholine acyltransferase 2,Inverse variance weighted,5,0.93 [0.87-0.99],0.0316821852927312
Chapter X Diseases of the respiratory system,Influenza and pneumonia,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,Inverse variance weighted,24,0.96 [0.93-0.99],0.023336376196674
Chapter X Diseases of the respiratory system,Influenza and pneumonia,TCN1,Transcobalamin-1,Inverse variance weighted,68,1.02 [1.00-1.04],0.0282619217515369
Chapter X Diseases of the respiratory system,Influenza and pneumonia,SPON1,Spondin-1,Inverse variance weighted,25,0.96 [0.93-1.00],0.0305300172810051
Chapter X Diseases of the respiratory system,Influenza and pneumonia,MMP12,Macrophage metalloelastase,Inverse variance weighted,21,1.03 [1.01-1.05],0.0060898924538705
Chapter X Diseases of the respiratory system,Influenza and pneumonia,TREM2,Triggering receptor expressed on myeloid cells 2,Inverse variance weighted,39,1.02 [1.00-1.05],0.037375786332106
Chapter X Diseases of the respiratory system,Influenza and pneumonia,CTSZ,Cathepsin Z,Inverse variance weighted,16,1.03 [1.00-1.06],0.040521068727501
Chapter X Diseases of the respiratory system,Influenza and pneumonia,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,1.08 [1.02-1.15],0.0148938497896497
Chapter X Diseases of the respiratory system,Influenza and pneumonia,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,14,0.94 [0.90-0.99],0.0275058387928132
