Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,18751,182,2.77 [1.83-4.18],1.3058832960660769e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ITM2A,Integral membrane protein 2A,21531,211,1.33 [1.09-1.61],0.0045531963412828
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",JAM2,Junctional adhesion molecule B,21750,216,3.85 [2.70-5.47],7.454164623858916e-14
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",JAM3,Junctional adhesion molecule C,18304,177,1.50 [1.16-1.95],0.001935805186244
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",JCHAIN,Immunoglobulin J chain,21181,209,1.45 [1.20-1.76],0.0001286389070107
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",JUN,Transcription factor AP-1,21181,209,1.45 [1.22-1.74],3.614191660228945e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KAZALD1,Kazal-type serine protease inhibitor domain-containing protein 1,21449,213,1.51 [1.14-2.00],0.0045272576289832
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KCTD5,BTB/POZ domain-containing protein KCTD5,18333,182,1.51 [1.19-1.93],0.0008451181118123
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KHDC3L,KH domain-containing protein 3,18084,178,0.74 [0.56-0.98],0.0363903808829838
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KIAA0319,Dyslexia-associated protein KIAA0319,18684,182,2.15 [1.54-2.99],5.908471218789607e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KIF1C,Kinesin-like protein KIF1C,18113,177,1.63 [1.24-2.16],0.0005861916728576
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KIR2DL2,Killer cell immunoglobulin-like receptor 2DL2,18670,181,1.19 [1.02-1.40],0.0273958421684265
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KIR2DL3,Killer cell immunoglobulin-like receptor 2DL3,21055,208,1.22 [1.04-1.42],0.0126177608707584
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KIRREL2,Kin of IRRE-like protein 2,21072,203,1.50 [1.13-1.99],0.0049887300749774
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KITLG,Kit ligand,21549,209,1.45 [1.05-2.01],0.024341103114581
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLF4,Krueppel-like factor 4,18152,178,1.50 [1.14-1.97],0.0037100950188457
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLHL41,Kelch-like protein 41,18696,182,1.41 [1.13-1.77],0.0026727949146594
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLK10,Kallikrein-10,21547,207,1.85 [1.45-2.34],4.724664606669936e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLK11,Kallikrein-11,21400,206,2.12 [1.66-2.71],2.015403128550335e-09
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLK13,Kallikrein-13,21061,212,1.79 [1.38-2.31],1.0620667480143472e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLK14,Kallikrein-14,21743,213,1.82 [1.43-2.31],9.980082954545375e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLK4,Kallikrein-4,21743,213,1.76 [1.52-2.03],1.4142835184283684e-14
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLK6,Kallikrein-6,21567,209,2.30 [1.56-3.38],2.34569166634674e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLK8,Kallikrein-8,20828,200,2.11 [1.55-2.88],2.1406373436611862e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLRB1,Killer cell lectin-like receptor subfamily B member 1,21809,215,1.97 [1.48-2.63],4.045825123082932e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLRD1,Natural killer cells antigen CD94,21809,215,1.51 [1.18-1.94],0.0011859857618415
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KLRK1,NKG2-D type II integral membrane protein,18684,182,1.51 [1.13-2.00],0.0046858072334786
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KRT18,"Keratin, type I cytoskeletal 18",21449,213,1.18 [1.03-1.35],0.0147572111543188
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",KRT19,"Keratin, type I cytoskeletal 19",21496,210,1.63 [1.40-1.91],4.0955118310536256e-10
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LAG3,Lymphocyte activation gene 3 protein,21449,213,2.02 [1.62-2.51],3.45296902253022e-10
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,21514,215,2.80 [2.30-3.43],5.943832933111683e-24
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LAIR2,Leukocyte-associated immunoglobulin-like receptor 2,21354,212,1.26 [1.11-1.43],0.0002424708814236
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LAMA4,Laminin subunit alpha-4,21627,216,2.16 [1.56-3.01],4.262757494095373e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LAMB1,Laminin subunit beta-1,18212,175,1.62 [1.01-2.61],0.0459924733496232
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LAMP3,Lysosome-associated membrane glycoprotein 3,21775,215,1.65 [1.33-2.04],4.178468477276275e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LAYN,Layilin,21324,211,3.70 [2.88-4.75],7.556500302593532e-25
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LBP,Lipopolysaccharide-binding protein,21653,215,1.44 [1.18-1.76],0.0004158044611462
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LCN15,Lipocalin-15,18696,182,1.48 [1.26-1.74],1.7686994016654072e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LCN2,Neutrophil gelatinase-associated lipocalin,20915,210,2.69 [2.14-3.38],1.815799707103512e-17
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LCP1,Plastin-2,18737,178,1.42 [1.09-1.85],0.0099589766006972
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LECT2,Leukocyte cell-derived chemotaxin-2,18734,180,1.47 [1.21-1.79],0.0001251125541433
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LEFTY2,Left-right determination factor 2,21720,213,1.29 [1.02-1.63],0.0323505517790814
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LEG1,Protein LEG1 homolog,17705,169,1.27 [1.04-1.55],0.0198669109025754
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LELP1,Late cornified envelope-like proline-rich protein 1,18152,178,0.76 [0.60-0.97],0.0292275023996758
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LEO1,RNA polymerase-associated protein LEO1,18696,182,1.66 [1.24-2.21],0.0005595098488683
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LEP,Leptin,21549,209,1.45 [1.21-1.74],5.653078734997444e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LEPR,Leptin receptor,21549,209,1.74 [1.23-2.45],0.0015669963772671
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LETM1,Mitochondrial proton/calcium exchanger protein,18696,182,1.57 [1.26-1.97],5.920142662106428e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LGALS1,Galectin-1,21549,209,3.13 [2.38-4.11],2.4585042054613103e-16
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LGALS3,Galectin-3,21626,215,3.39 [2.36-4.87],3.92654619500754e-11
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LGALS3BP,Galectin-3-binding protein,18751,182,1.82 [1.26-2.63],0.0013477883430032
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LGALS4,Galectin-4,21514,215,1.90 [1.58-2.28],9.706122771324525e-12
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LGALS7_LGALS7B,Galectin-7,21505,210,2.19 [1.79-2.69],3.0855204929752365e-14
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LGALS9,Galectin-9,21526,216,5.26 [3.85-7.17],1.2080890788431843e-25
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LGMN,Legumain,21627,216,1.78 [1.30-2.44],0.0003056027673642
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LIFR,Leukemia inhibitory factor receptor,21531,211,3.14 [2.02-4.87],3.303360214967764e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LILRA2,Leukocyte immunoglobulin-like receptor subfamily A member 2,21555,214,2.22 [1.56-3.17],1.0695333235316984e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,21520,208,3.64 [2.58-5.13],1.779025331812056e-13
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LILRA6,Leukocyte immunoglobulin-like receptor subfamily A member 6,18734,180,1.23 [1.01-1.49],0.0392043774759233
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LILRB1,Leukocyte immunoglobulin-like receptor subfamily B member 1,21827,216,2.13 [1.38-3.27],0.000613086048791
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LILRB2,Leukocyte immunoglobulin-like receptor subfamily B member 2,21726,216,1.94 [1.34-2.79],0.0003961878111831
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,21181,209,2.87 [2.25-3.65],1.1288114671019672e-17
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LIPF,Gastric triacylglycerol lipase,18212,175,1.26 [1.01-1.57],0.0409346701423993
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LMNB1,Lamin-B1,18643,180,1.34 [1.12-1.62],0.0017319319173871
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LMNB2,Lamin-B2,18684,182,4.79 [3.46-6.64],4.207344420626895e-21
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LMOD1,Leiomodin-1,18696,182,2.56 [2.03-3.22],1.2094630025453816e-15
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LPA,Apolipoprotein(a),18324,177,1.10 [1.02-1.20],0.0154194374521385
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LPCAT2,Lysophosphatidylcholine acyltransferase 2,21449,213,1.39 [1.18-1.65],0.0001142490578136
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LPL,Lipoprotein lipase,21549,209,1.36 [1.05-1.77],0.0201990470086043
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LPO,Lactoperoxidase,20789,205,1.26 [1.03-1.54],0.0217819764904421
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LRG1,Leucine-rich alpha-2-glycoprotein,18751,182,5.64 [3.61-8.79],2.3498888137766822e-14
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LRIG1,Leucine-rich repeats and immunoglobulin-like domains protein 1,21688,212,2.60 [1.90-3.56],2.624321775309735e-09
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LRP11,Low-density lipoprotein receptor-related protein 11,21549,209,2.78 [2.07-3.74],9.205995700835553e-12
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LRRC25,Leucine-rich repeat-containing protein 25,21449,213,2.20 [1.71-2.82],6.756611644162608e-10
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LRRC37A2,Leucine-rich repeat-containing protein 37A2,18675,180,1.51 [1.08-2.09],0.0144754493413194
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LRRC38,Leucine-rich repeat-containing protein 38,18239,180,1.35 [1.02-1.77],0.0327622400525244
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LRRN1,Leucine-rich repeat neuronal protein 1,21181,209,0.60 [0.45-0.82],0.0010970395445532
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LSP1,Lymphocyte-specific protein 1,21531,211,1.52 [1.15-2.02],0.003742591062012
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LTA,Lymphotoxin-alpha,21531,211,1.57 [1.19-2.08],0.0013216492266199
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LTA4H,Leukotriene A-4 hydrolase,21743,213,1.43 [1.19-1.72],0.0001383804442429
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LTBP2,Latent-transforming growth factor beta-binding protein 2,21827,216,4.92 [3.74-6.48],5.2457468936095054e-30
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LTBP3,Latent-transforming growth factor beta-binding protein 3,21055,208,1.41 [1.17-1.70],0.0002479082392443
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LTBR,Tumor necrosis factor receptor superfamily member 3,21403,214,4.31 [3.17-5.86],9.237722425203548e-21
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LUZP2,Leucine zipper protein 2,18670,181,1.60 [1.26-2.03],0.0001161199485282
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LY6D,Lymphocyte antigen 6D,21415,213,2.62 [2.12-3.24],9.011552542555677e-19
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LY9,T-lymphocyte surface antigen Ly-9,21284,209,2.41 [1.66-3.49],3.567611425414244e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LY96,Lymphocyte antigen 96,21354,212,1.55 [1.14-2.11],0.0050254028983912
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LYPD3,Ly6/PLAUR domain-containing protein 3,21443,209,1.65 [1.17-2.32],0.003883999737331
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LYPD8,Ly6/PLAUR domain-containing protein 8,21055,208,1.29 [1.05-1.58],0.0136712605169934
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",LYVE1,Lymphatic vessel endothelial hyaluronic acid receptor 1,18751,182,2.68 [1.33-5.39],0.0059049095547741
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MAD1L1,Mitotic spindle assembly checkpoint protein MAD1,21286,211,1.54 [1.33-1.79],1.5876876850578482e-08
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MAMDC2,MAM domain-containing protein 2,18734,180,3.72 [2.74-5.04],2.498752957584164e-17
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",18212,175,2.52 [1.43-4.44],0.0013907195014277
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MANSC1,MANSC domain-containing protein 1,21610,209,2.86 [1.90-4.29],4.02262667730115e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MANSC4,MANSC domain-containing protein 4,18113,177,1.26 [1.04-1.53],0.0210553268202772
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MAP2,Microtubule-associated protein 2,18684,182,1.51 [1.17-1.94],0.001301918515871
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MAPK13,Mitogen-activated protein kinase 13,18084,178,1.61 [1.29-2.02],2.9481811028185428e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MAPK9,Mitogen-activated protein kinase 9,21531,211,1.43 [1.08-1.89],0.0117307198299671
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MARCO,Macrophage receptor MARCO,21549,209,2.54 [1.58-4.07],0.0001164185250164
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MATN2,Matrilin-2,21549,216,2.64 [1.79-3.89],1.042505855069815e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",MATN3,Matrilin-3,21315,211,1.50 [1.06-2.12],0.0230066456003934
