Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,25848,99,1.15 [0.98-1.34],0.0829916032841384
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,26072,323,1.02 [0.91-1.14],0.7381999614699423
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,26063,314,1.03 [0.92-1.15],0.6131305914533769
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,25719,178,1.07 [0.93-1.24],0.3322910317192062
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",25724,176,1.08 [0.93-1.25],0.3064798644231095
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,24079,527,0.98 [0.90-1.07],0.6566318967248266
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",23625,73,1.04 [0.84-1.30],0.7115722778517433
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,24035,483,0.99 [0.90-1.08],0.7601003473464519
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,23593,41,1.10 [0.84-1.43],0.49020714696124
IKZF2,Zinc finger protein Helios,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",23630,78,1.01 [0.81-1.25],0.9308314689918494
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,Any mental disorder,23976,754,1.01 [0.94-1.09],0.7598538610751624
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",23512,290,1.00 [0.88-1.14],0.96144862095759
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",27202,222,0.99 [0.86-1.14],0.8695798692226161
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",27271,158,1.02 [0.86-1.21],0.8273194180628923
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,25673,81,0.85 [0.64-1.12],0.2518615138641318
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",27521,81,0.85 [0.64-1.12],0.2403145598027005
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",23303,81,0.85 [0.64-1.13],0.2583956981601893
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,Alcohol dependence,25687,95,0.88 [0.68-1.15],0.365165307312091
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,Smoking dependency,25653,66,1.05 [0.81-1.37],0.694656220276214
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",23293,71,1.15 [0.94-1.41],0.1785536224913428
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",23605,383,0.94 [0.84-1.05],0.2728092599826969
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,Depression,25932,332,0.93 [0.83-1.05],0.2435653239218937
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,Depression or dysthymia,23455,289,0.97 [0.86-1.09],0.6024672032276541
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",23366,144,1.03 [0.88-1.20],0.735464196849612
IKZF2,Zinc finger protein Helios,Chapter V Mental and behavioural disorders,Other anxiety disorders,26152,69,0.92 [0.70-1.19],0.5189520010454912
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Neurological diseases,24594,1430,1.03 [0.98-1.08],0.2526566430252507
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,22925,157,1.19 [1.06-1.34],0.0030342452526608
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,27437,127,1.11 [0.97-1.28],0.1336042446963943
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,26314,489,1.03 [0.94-1.12],0.559144144826339
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Epilepsy,25992,167,1.08 [0.95-1.24],0.2494994658517199
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Migraine,25928,103,1.04 [0.88-1.24],0.640823744449546
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",27269,94,1.06 [0.89-1.27],0.5031930333127074
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Transient ischemic attack,27155,39,0.79 [0.52-1.18],0.2411545590581501
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Other sleep disorders,25996,171,0.98 [0.84-1.15],0.8270240060679934
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Sleep apnoea,27037,133,0.97 [0.82-1.16],0.7627868624712343
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",26533,610,0.98 [0.90-1.06],0.6245559816455147
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",26058,135,0.89 [0.73-1.07],0.2128072874821015
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Carpal tunnel syndrome,26252,329,1.01 [0.91-1.12],0.8042469478540584
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,27424,84,1.07 [0.88-1.29],0.4921508593117011
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Hemiplegia,27393,53,1.16 [0.93-1.43],0.184323380363926
IKZF2,Zinc finger protein Helios,Chapter VI Diseases of the nervous system,Other neurological diseases,27211,121,0.94 [0.78-1.14],0.5518075225616936
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of eyelid, lacrimal system and orbit",27176,312,1.06 [0.96-1.17],0.2782280697936623
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of eyelid,27033,169,0.96 [0.82-1.12],0.5820512504995761
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Chalazion,26951,87,1.15 [0.97-1.35],0.1006541649824097
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other specified and unspecified  disorders of eyelid,26967,103,1.01 [0.84-1.21],0.9432898271075288
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of lacrimal system,26915,51,1.13 [0.91-1.41],0.2528462786034824
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Senile cataract,25954,66,0.91 [0.69-1.20],0.4990938666974173
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other cataract,26073,185,0.97 [0.84-1.13],0.6955958964103857
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,27031,129,0.87 [0.71-1.06],0.1691882382285708
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,27388,25,0.87 [0.55-1.38],0.5479189366991821
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,1716,25,0.85 [0.54-1.35],0.4945645581395397
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",25697,25,0.87 [0.55-1.38],0.5506127941295453
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Glaucoma,27265,49,0.93 [0.68-1.26],0.6207375863879732
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other and unspecified glaucoma,27245,29,0.80 [0.50-1.28],0.3469280318549803
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of ocular muscles, binocular movement, accommodation and refraction",27178,93,1.03 [0.86-1.24],0.711729469622148
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,27219,96,1.08 [0.90-1.28],0.4175286370803865
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diseases of middle ear and mastoid,27516,122,0.87 [0.71-1.08],0.2079474344744768
IKZF2,Zinc finger protein Helios,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of ear,27123,92,0.97 [0.78-1.19],0.7364124290442238
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,21651,1944,1.01 [0.96-1.06],0.7120394086243534
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,27316,40,0.92 [0.65-1.28],0.6064342328660022
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"Hypertension, essential",22689,1296,0.99 [0.94-1.05],0.8281559490165058
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Hypertension,22713,1320,0.99 [0.94-1.05],0.7441309171632535
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,21441,48,1.17 [0.93-1.47],0.1724669238791695
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",26149,563,1.06 [0.98-1.15],0.1272564122454584
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Angina pectoris,25933,347,1.07 [0.97-1.18],0.1815554669502259
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Unstable angina pectoris,26932,135,1.04 [0.88-1.22],0.6458103412324887
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,27053,256,1.01 [0.90-1.14],0.8265517881840652
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",27533,56,0.93 [0.69-1.25],0.6175059215485362
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",25742,156,1.00 [0.85-1.17],0.9968926666445151
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,25994,418,1.05 [0.96-1.15],0.2816971119118012
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Pulmonary embolism,27125,79,1.15 [0.96-1.37],0.1229023336964752
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Venous thromboembolism,27117,175,1.09 [0.96-1.24],0.1757279116167587
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Secondary right heart disease,27107,61,1.12 [0.91-1.38],0.296146797119266
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,27108,62,1.11 [0.90-1.37],0.3113342645847797
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",21452,59,1.10 [0.89-1.37],0.378678414773656
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Cardiomyopathy,25054,46,0.89 [0.64-1.23],0.4732121134184771
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Conduction disorders,25080,72,1.09 [0.89-1.33],0.3924578756184541
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,18894,91,1.22 [1.06-1.42],0.0073852896020776
