Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VPS53,Vacuolar protein sorting-associated protein 53 homolog,19247,258,1.05 [0.91-1.21],0.5404099184225897
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VSIG10,V-set and immunoglobulin domain-containing protein 10,16806,202,1.12 [0.77-1.62],0.5559529292675087
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VSIG10L,V-set and immunoglobulin domain-containing protein 10-like,16308,197,1.42 [0.98-2.05],0.0651540192296067
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VSIG2,V-set and immunoglobulin domain-containing protein 2,16806,202,1.43 [1.20-1.72],0.000107312245471
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VSIG4,V-set and immunoglobulin domain-containing protein 4,19337,258,1.06 [0.81-1.38],0.6701427014119448
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VSIR,V-type immunoglobulin domain-containing suppressor of T-cell activation,19289,257,0.86 [0.71-1.04],0.1182508080806237
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VSNL1,Visinin-like protein 1,16859,198,1.02 [0.71-1.47],0.9175341942245978
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VSTM1,V-set and transmembrane domain-containing protein 1,18888,250,1.08 [0.86-1.35],0.5040583311206102
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VSTM2B,V-set and transmembrane domain-containing protein 2B,16582,200,1.11 [0.82-1.50],0.516294181268639
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VSTM2L,V-set and transmembrane domain-containing protein 2-like protein,18949,248,1.04 [0.86-1.25],0.6840978281627941
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VTA1,Vacuolar protein sorting-associated protein VTA1 homolog,19482,259,1.00 [0.86-1.17],0.9811552846553911
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VTCN1,V-set domain-containing T-cell activation inhibitor 1,18895,250,1.29 [0.91-1.83],0.1503505934248004
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VTI1A,Vesicle transport through interaction with t-SNAREs homolog 1A,16532,198,1.04 [0.82-1.31],0.7719982561074924
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VWA1,von Willebrand factor A domain-containing protein 1,19458,258,0.91 [0.69-1.19],0.4887098099680358
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VWA5A,von Willebrand factor A domain-containing protein 5A,16265,197,0.94 [0.78-1.14],0.515997471206475
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VWC2,Brorin,19100,252,1.05 [0.79-1.39],0.746852598873033
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VWC2L,von Willebrand factor C domain-containing protein 2-like,16848,200,0.84 [0.60-1.17],0.3000202515323911
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,VWF,von Willebrand factor,19570,260,0.91 [0.78-1.06],0.2297739623726814
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WARS,"Tryptophan--tRNA ligase, cytoplasmic",19362,258,0.81 [0.61-1.09],0.1687077946497207
