Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20640.Liking for chips or french fries,OSM,Oncostatin-M,34950,0.0693143800310969,0.0217582245405733,0.0266682599315732,0.111960500130621,0.0014484539102936
Diet and food preferences,X20640.Liking for chips or french fries,CTSO,Cathepsin O,35140,0.167156784347052,0.0525107295792159,0.0642357543717885,0.270077814322315,0.00146030237598731
Diet and food preferences,X20640.Liking for chips or french fries,CD79B,B-cell antigen receptor complex-associated protein beta chain,35140,0.116084081594115,0.0365151097289746,0.0445144665253245,0.187653696662905,0.00148170204431426
Diet and food preferences,X20640.Liking for chips or french fries,MEGF10,Multiple epidermal growth factor-like domains protein 10,35033,-0.128931539764542,0.0405638620427647,-0.208436709368361,-0.0494263701607229,0.00148474504356534
Diet and food preferences,X20640.Liking for chips or french fries,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,33202,0.0980771751964642,0.0312535543093967,0.0368202087500467,0.159334141642882,0.00170604850009916
Diet and food preferences,X20640.Liking for chips or french fries,FGF21,Fibroblast growth factor 21,35096,0.0422144698766507,0.0134689315968049,0.015815363946913,0.0686135758063884,0.00172785728048654
Diet and food preferences,X20640.Liking for chips or french fries,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,35137,0.106929821057726,0.03423313236298,0.039832881626285,0.174026760489167,0.00179145237255013
Diet and food preferences,X20640.Liking for chips or french fries,OMP,Olfactory marker protein,33163,0.11558291432697,0.0370878421122288,0.0428907437870012,0.188275084866938,0.00183630129774529
Diet and food preferences,X20640.Liking for chips or french fries,ULBP2,UL16-binding protein 2,34959,0.14258842386072,0.0457565194428108,0.0529056457528114,0.23227120196863,0.00183665535062052
Diet and food preferences,X20640.Liking for chips or french fries,PDGFRA,Platelet-derived growth factor receptor alpha,35036,-0.17207912139338,0.0552959364935431,-0.280459156920724,-0.0636990858660351,0.00186340562728663
Diet and food preferences,X20640.Liking for chips or french fries,HGF,Hepatocyte growth factor,35140,0.147044688157542,0.0473614125081274,0.0542163196416124,0.239873056673472,0.00190947091670297
Diet and food preferences,X20640.Liking for chips or french fries,MYOM3,Myomesin-3,33255,-0.063619462557208,0.0206152649725377,-0.104025381903382,-0.0232135432110341,0.00203474223763339
Diet and food preferences,X20640.Liking for chips or french fries,SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein,35021,0.0479234823761496,0.0155682522532961,0.0174097079596892,0.07843725679261,0.002087310603769
Diet and food preferences,X20640.Liking for chips or french fries,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,34959,0.125886773662624,0.0409472710312848,0.0456301224413054,0.206143424883942,0.00211494121737937
Diet and food preferences,X20640.Liking for chips or french fries,SERPINF1,Pigment epithelium-derived factor,33323,0.224602558161859,0.0730939140180937,0.0813384866863956,0.367866629637323,0.00212708393468388
Diet and food preferences,X20640.Liking for chips or french fries,CFB,Complement factor B,33290,0.171974502793206,0.0561317659885923,0.0619562414555648,0.281992764130847,0.00219229841210454
Diet and food preferences,X20640.Liking for chips or french fries,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,33398,0.0703126477851313,0.0230655516047651,0.0251041666397918,0.115521128930471,0.00230748676427424
Diet and food preferences,X20640.Liking for chips or french fries,NOTCH3,Neurogenic locus notch homolog protein 3,35173,-0.14034216872673,0.0460847076161184,-0.230668195654322,-0.050016141799138,0.00233006221286388
Diet and food preferences,X20640.Liking for chips or french fries,ACTN2,Alpha-actinin-2,33160,-0.10117189816643,0.0334660834216099,-0.166765421672785,-0.0355783746600742,0.0025091405805867
Diet and food preferences,X20640.Liking for chips or french fries,PLAT,Tissue-type plasminogen activator,35137,0.0961769056688559,0.0318190195485199,0.0338116273537568,0.158542183983955,0.00251188507263451
Diet and food preferences,X20640.Liking for chips or french fries,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,34819,0.113629714503898,0.0376422760944395,0.0398508533587963,0.187408575648999,0.00254502350491045
Diet and food preferences,X20640.Liking for chips or french fries,FSTL3,Follistatin-related protein 3,35023,0.165666865557395,0.0548955843638718,0.058071520204206,0.273262210910583,0.00255178284990219
Diet and food preferences,X20640.Liking for chips or french fries,CDH17,Cadherin-17,35036,-0.0694782923007294,0.0230274390931816,-0.114612072923365,-0.0243445116780935,0.00255731926064136
Diet and food preferences,X20640.Liking for chips or french fries,CD99L2,CD99 antigen-like protein 2,35037,0.203557694336754,0.0678185026794086,0.0706334290851134,0.336481959588395,0.00269274078613137
Diet and food preferences,X20640.Liking for chips or french fries,COL5A1,Collagen alpha-1(V) chain,33255,-0.142215192357287,0.0476947799745018,-0.235696961107311,-0.0487334236072636,0.00287366129443652
Diet and food preferences,X20640.Liking for chips or french fries,CXADR,Coxsackievirus and adenovirus receptor,35008,-0.0863115758642281,0.0291413451287791,-0.143428612316635,-0.029194539411821,0.00306502967817088
Diet and food preferences,X20640.Liking for chips or french fries,TNXB,Tenascin-X,35037,-0.184474767295123,0.0624510097371168,-0.306878746379872,-0.0620707882103736,0.00314464634762114
Diet and food preferences,X20640.Liking for chips or french fries,SPINK2,Serine protease inhibitor Kazal-type 2,33255,0.148633977769068,0.0504927274393715,0.0496682319878995,0.247599723550236,0.0032519271432213
Diet and food preferences,X20640.Liking for chips or french fries,CLUL1,Clusterin-like protein 1,35024,-0.102534709982857,0.0348897858239055,-0.170918690197712,-0.0341507297680024,0.00330179977025165
Diet and food preferences,X20640.Liking for chips or french fries,VTCN1,V-set domain-containing T-cell activation inhibitor 1,34781,-0.144387377111887,0.049386357330732,-0.241184637480122,-0.0475901167436526,0.00346728962099935
Diet and food preferences,X20640.Liking for chips or french fries,CRIP2,Cysteine-rich protein 2,34959,0.123335584317427,0.0421897768226653,0.0406436217450028,0.206027546889851,0.00347023947419854
Diet and food preferences,X20640.Liking for chips or french fries,CFI,Complement factor I,33469,0.264476847872521,0.0906329986307508,0.0868361705562493,0.442117525188792,0.00353033630662053
Diet and food preferences,X20640.Liking for chips or french fries,C9,Complement component C9,33452,0.110477092055592,0.0378787378633335,0.0362347658434584,0.184719418267726,0.00354745437485175
Diet and food preferences,X20640.Liking for chips or french fries,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,33439,0.074570798479753,0.0259172130133012,0.0237730609736826,0.125368535985823,0.00402078893019038
Diet and food preferences,X20640.Liking for chips or french fries,STC1,Stanniocalcin-1,35137,0.112831649828674,0.0394416576141949,0.0355260009048518,0.190137298752496,0.00423496961732712
Diet and food preferences,X20640.Liking for chips or french fries,RARRES2,Retinoic acid receptor responder protein 2,35084,0.095785838981248,0.0334912524445686,0.0301429841898936,0.161428693772602,0.00424432548269797
Diet and food preferences,X20640.Liking for chips or french fries,CSF1,Macrophage colony-stimulating factor 1,35087,0.17237859858699,0.0603750384161187,0.0540435232913968,0.290713673882582,0.00431024954376443
Diet and food preferences,X20640.Liking for chips or french fries,ADIPOQ,Adiponectin,33469,-0.079184937633647,0.0277706244130781,-0.13361536148328,-0.0247545137840139,0.00436272423808754
