Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,APOF,Apolipoprotein F,32801,-0.5005882984927,0.171808912384363,-0.837333766766052,-0.163842830219348,0.00358196478158513
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,PLXNB2,Plexin-B2,34328,-0.397001753308048,0.137094322971831,-0.665706626332837,-0.12829688028326,0.00378987676855711
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,ITGA2,Integrin alpha-2,32623,-0.329877356526868,0.113990781803156,-0.553299288861054,-0.106455424192682,0.00381501944332244
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,PTPRS,Receptor-type tyrosine-protein phosphatase S,34372,-0.372289636421379,0.128923022638363,-0.624978760792571,-0.119600512050188,0.00388921951592266
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,ADGRE2,Adhesion G protein-coupled receptor E2,34290,-0.327969043014926,0.113607959502604,-0.55064064364003,-0.105297442389823,0.00389968067227872
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,IGSF3,Immunoglobulin superfamily member 3,34209,-0.297933105441806,0.103699434703777,-0.501183997461209,-0.0946822134224039,0.00407413896139365
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,ITGB7,Integrin beta-7,34330,-0.200654664020297,0.0703171545881069,-0.338476287012987,-0.062833041027608,0.00433214016102413
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,ITGB1BP1,Integrin beta-1-binding protein 1,34007,-0.218501428639657,0.0766982374758453,-0.368829974092314,-0.0681728831870002,0.00439719481310225
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,CGA,Glycoprotein hormones alpha chain,34246,-0.0907048222677238,0.0318756368752819,-0.153181070543276,-0.0282285739921713,0.00444220137394618
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,HMCN2,Hemicentin-2,32609,-0.18287536123032,0.0650033800860604,-0.310281986198998,-0.0554687362616416,0.00491500109234751
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,FGFBP3,Fibroblast growth factor-binding protein 3,32786,-0.287575316735946,0.102286487714101,-0.488056832655584,-0.0870938008163082,0.00494310007240471
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,HEPH,Hephaestin,32797,-0.425546616465786,0.151758084987765,-0.722992463041806,-0.128100769889766,0.00505720239234174
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,BMPER,BMP-binding endothelial regulator protein,32623,-0.495372852476668,0.176962155260469,-0.842218676787188,-0.148527028166148,0.00513312393474073
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,DCDC2C,Doublecortin domain-containing protein 2C,32485,-0.183485659285795,0.0655732844791148,-0.31200929686486,-0.0549620217067297,0.00515143712297504
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,CDH17,Cadherin-17,34250,-0.133421058845316,0.0479508071677071,-0.227404640894022,-0.0394374767966098,0.00540522568319871
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,RNF43,E3 ubiquitin-protein ligase RNF43,32646,-0.201809581565446,0.0725424326794065,-0.343992749617083,-0.0596264135138095,0.00541565715038614
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,RBM25,RNA-binding protein 25,32485,0.211529025416569,0.0768514211996405,0.0609002398652738,0.362157810967864,0.00592855478253016
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,CLEC3B,Tetranectin,32602,-0.494288431344621,0.179780667497156,-0.846658539639047,-0.141918323050195,0.00598366070297004
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,ANKRA2,Ankyrin repeat family A protein 2,32485,0.165206227572691,0.060247771325859,0.0471205957740073,0.283291859371375,0.00611804470372337
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,32758,-0.126317397588134,0.0460854340015249,-0.216644848231123,-0.0359899469451455,0.00613947657418077
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,LAMB1,Laminin subunit beta-1,32580,-0.341841686494983,0.125012997815074,-0.586867162212528,-0.0968162107774389,0.00626201487814641
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,CD244,Natural killer cell receptor 2B4,34353,-0.321366148130441,0.117604846753825,-0.551871647767938,-0.0908606484929448,0.00629494824143724
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,KLK15,Kallikrein-15,32735,0.196705740547121,0.0722951527320836,0.0550072411922376,0.338404239902005,0.00652462812974376
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,LEG1,Protein LEG1 homolog,32325,-0.161086787696798,0.0594039352903109,-0.277518500865808,-0.044655074527789,0.00670806083223085
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,SPINK2,Serine protease inhibitor Kazal-type 2,32623,-0.281264205719412,0.104162601652544,-0.485422904958399,-0.0771055064804246,0.00694318643521161
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,BMP10,Bone morphogenetic protein 10,32623,-0.35159599225846,0.130484376134442,-0.607345369481967,-0.0958466150349537,0.00706289833126499
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,32580,-0.510625748123948,0.189781506886938,-0.882597501622346,-0.13865399462555,0.00714699215205612
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,PLTP,Phospholipid transfer protein,34336,-0.241243327146412,0.0898344655579949,-0.417318879640082,-0.0651677746527418,0.00725595346929312
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,ATRN,"Attractin, Isoform 2",32813,-0.608127016697185,0.228751055428118,-1.0564790853363,-0.159774948058075,0.00786466219980515
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,RAC3,Ras-related C3 botulinum toxin substrate 3,32556,-0.162694822370233,0.0613985903914213,-0.283036059537419,-0.0423535852030477,0.00806925626238661
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta,32797,-0.303235716021524,0.115149292714193,-0.528928329741342,-0.0775431023017069,0.0084687234874229
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,NGF,Beta-nerve growth factor,34183,-0.678585567081211,0.258890877367737,-1.18601168672198,-0.171159447440445,0.00877762150015087
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,ADGRG2,Adhesion G-protein coupled receptor G2,34250,-0.309916488742108,0.119329131268482,-0.543801586028333,-0.0760313914558825,0.00941394710706048
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,EPHA4,Ephrin type-A receptor 4,32623,-0.359482763157674,0.138955644094552,-0.631835825582996,-0.087129700732352,0.00969776242828028
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,IGF1R,Insulin-like growth factor 1 receptor,34209,-0.401815176797794,0.155393232280592,-0.706385912067754,-0.0972444415278331,0.00972980454622775
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,PCDH17,Protocadherin-17,34250,-0.244690062708297,0.0947030821219472,-0.430308103667314,-0.059072021749281,0.00978731293363796
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,GPRC5C,G-protein coupled receptor family C group 5 member C,32750,0.153051193558043,0.0592981624510557,0.0368267951539739,0.269275591962112,0.0098671974103151
