Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRELD1,Protein disulfide isomerase CRELD1,39316,3732,1.13 [1.04-1.23],0.0036877164856624
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRELD2,Protein disulfide isomerase CRELD2,46376,4458,1.06 [1.01-1.12],0.0183829145128521
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRH,Corticoliberin,45102,4330,0.97 [0.94-1.00],0.089047080850324
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRHBP,Corticotropin-releasing factor-binding protein,46223,4448,1.18 [1.07-1.30],0.0006949919614236
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRHR1,Corticotropin-releasing factor receptor 1,45374,4359,0.98 [0.94-1.02],0.3157631772144595
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRIM1,Cysteine-rich motor neuron 1 protein,46448,4463,1.22 [1.07-1.39],0.0028741923223235
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRIP2,Cysteine-rich protein 2,45890,4396,1.11 [1.03-1.19],0.0039275734284043
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRISP2,Cysteine-rich secretory protein 2,46642,4473,1.00 [0.96-1.05],0.9643770229508254
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRISP3,Cysteine-rich secretory protein 3,39858,3783,0.81 [0.73-0.91],0.0003901582414805
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRKL,Crk-like protein,46297,4448,1.01 [0.98-1.04],0.4413483824700962
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRLF1,Cytokine receptor-like factor 1,46448,4463,0.93 [0.84-1.03],0.1870211695990488
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRNN,Cornulin,44922,4311,1.03 [0.99-1.07],0.1557210010084636
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRTAC1,Cartilage acidic protein 1,46800,4498,1.00 [0.92-1.09],0.9820908388706076
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRTAM,Cytotoxic and regulatory T-cell molecule,45890,4396,1.11 [1.05-1.17],0.0001279963369813
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRTAP,Cartilage-associated protein,39106,3702,1.07 [1.00-1.14],0.0382925791177508
