Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",39363,171,4.53 [3.37-6.09],1.3522552685757666e-23
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,Any mental disorder,43547,1312,2.05 [1.80-2.34],9.394001355364315e-27
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",42691,456,3.00 [2.43-3.70],1.5372772837691299e-24
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",50675,338,3.06 [2.43-3.86],2.118470639112733e-21
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",50807,248,3.32 [2.56-4.31],2.0799839489084692e-19
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,47929,114,2.72 [1.81-4.08],1.432385522732348e-06
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",51292,114,2.25 [1.53-3.30],3.459255940742409e-05
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",42349,114,2.75 [1.83-4.13],1.136998173153161e-06
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,Alcohol dependence,47956,141,3.89 [2.77-5.46],5.076412614691136e-15
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,Smoking dependency,47844,120,2.76 [1.86-4.07],3.585933766707469e-07
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",42343,108,1.66 [1.05-2.64],0.031341721821997
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",42889,654,2.08 [1.73-2.49],2.867422127481493e-15
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,Depression,48284,571,1.85 [1.53-2.24],3.0835252587487296e-10
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,Depression or dysthymia,42376,496,1.91 [1.54-2.35],1.9448534756825467e-09
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",42491,256,1.38 [1.01-1.88],0.0433385552663839
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter V Mental and behavioural disorders,Other anxiety disorders,48560,132,1.29 [0.85-1.97],0.2336600971343506
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Neurological diseases,44006,2956,1.40 [1.27-1.54],4.358815339179482e-12
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,39955,264,1.16 [0.84-1.60],0.3740463979607423
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,51191,210,0.96 [0.67-1.39],0.8465135293289736
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,48789,969,1.40 [1.20-1.63],2.215907781085373e-05
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Epilepsy,48125,305,1.96 [1.51-2.53],3.406117227427535e-07
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Migraine,47982,162,0.88 [0.58-1.33],0.5522008142215588
