Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",44443,164,0.98 [0.82-1.17],0.8482294061652002
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",39374,498,0.90 [0.81-1.00],0.0407293485432814
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,40433,1589,0.92 [0.87-0.98],0.0073539899871418
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Pulmonary embolism,43227,191,1.02 [0.87-1.21],0.7858481135716762
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Venous thromboembolism,43440,399,1.00 [0.89-1.12],0.954242360787052
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Secondary right heart disease,43207,171,0.82 [0.69-0.97],0.0234445503437355
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,43209,173,0.83 [0.70-0.98],0.0310363173485393
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",29630,164,0.83 [0.69-0.99],0.0349190584103932
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Cardiomyopathy,37159,104,0.93 [0.74-1.17],0.5349615093979034
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Conduction disorders,37261,206,0.85 [0.72-0.99],0.0422754361560588
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,24703,201,0.83 [0.70-0.97],0.0199521269894163
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,25261,759,0.79 [0.73-0.87],1.7336930881406486e-07
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Other arrhythmias,37172,117,0.95 [0.77-1.17],0.6428003215977226
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,37219,164,0.62 [0.52-0.74],1.116438193905629e-07
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,"Heart failure, strict",42861,363,0.92 [0.82-1.04],0.198950317620117
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,"Stroke, including SAH",43123,264,0.98 [0.85-1.12],0.7416283375313565
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",43183,223,1.01 [0.87-1.18],0.8783606567820392
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,"Ischaemic Stroke, excluding all haemorrhages",43315,194,1.01 [0.86-1.19],0.9268399278313906
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,42640,128,0.87 [0.71-1.06],0.1660917489467333
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,42732,220,0.93 [0.80-1.08],0.3404123926042702
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),42138,245,1.00 [0.87-1.16],0.97038543614272
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,DVT of lower extremities,42099,206,0.99 [0.85-1.16],0.91519486864234
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,"!Phlebitis/thrombophlebitis venae iliacae [externae/internae/communis], drug-induced",44295,198,1.01 [0.86-1.19],0.887652968534786
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Varicose veins,42729,836,0.91 [0.84-0.98],0.0166351251512801
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Hypotension,42665,143,0.90 [0.75-1.09],0.2722557978927794
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,35677,3601,1.03 [0.99-1.07],0.1918351499205471
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Acute upper respiratory infections,44344,190,1.01 [0.86-1.19],0.8614019208688956
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Influenza and pneumonia,41495,398,0.97 [0.87-1.09],0.6383782178478155
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",41444,347,0.98 [0.87-1.10],0.7066843181269464
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,43060,443,0.95 [0.85-1.06],0.3685911241591864
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,43054,437,0.95 [0.85-1.06],0.3295238353685649
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Other diseases of upper respiratory tract,43258,1060,1.07 [0.99-1.14],0.070587064481624
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Chronic sinusitis,42368,170,1.12 [0.94-1.33],0.1899039226258896
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Nasal polyp,42412,214,1.16 [0.99-1.35],0.0633796736351764
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,"Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified",42870,672,1.07 [0.98-1.17],0.1216650286427168
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Deviated nasal septum,42512,314,1.04 [0.92-1.18],0.51228778533184
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Vocal cord dysfunction,20565,108,1.05 [0.84-1.31],0.6700555507016195
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,39868,1762,1.03 [0.97-1.08],0.3758367893259632
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,Early onset COPD,42637,305,0.99 [0.87-1.13],0.8879759775352853
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",42679,347,0.99 [0.88-1.13],0.9276314930929724
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",42679,347,0.99 [0.88-1.13],0.9276314930929724
