Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BPIFB2,BPI fold-containing family B member 2,22539,53,1.97 [1.48-2.61],2.706169392403705e-06
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BRD2,Bromodomain-containing protein 2,21853,52,1.97 [1.29-3.00],0.0016586825897856
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BRK1,Protein BRICK1,25324,56,2.31 [1.54-3.46],5.34282142061031e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BSG,Basigin,26179,55,7.92 [3.10-20.22],1.5127198156300363e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BST2,Bone marrow stromal antigen 2,26180,57,1.74 [1.30-2.33],0.0002070865707171
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BTN1A1,Butyrophilin subfamily 1 member A1,22421,52,0.40 [0.16-0.97],0.0428881337881513
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BTN2A1,Butyrophilin subfamily 2 member A1,26086,56,3.47 [1.65-7.31],0.0010753392210144
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BTN3A2,Butyrophilin subfamily 3 member A2,25916,56,2.05 [1.26-3.32],0.0035821284332404
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,C1QA,Complement C1q subcomponent subunit A,26087,55,5.73 [2.19-14.98],0.0003758568992657
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,C1QTNF1,Complement C1q tumor necrosis factor-related protein 1,26047,57,2.11 [1.33-3.34],0.0014141207041677
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,C1RL,Complement C1r subcomponent-like protein,22593,54,7.52 [2.17-26.04],0.0014538771623056
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,C2,Complement C2,26004,57,0.51 [0.34-0.78],0.0016526928850706
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,C7,Complement component C7,22083,54,3.79 [1.74-8.28],0.000824658052832
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,C9,Complement component C9,22594,54,1.78 [1.02-3.11],0.0413987431250858
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CA14,Carbonic anhydrase 14,26172,55,0.41 [0.21-0.80],0.0092511548006855
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CA6,Carbonic anhydrase 6,25871,57,0.50 [0.35-0.71],0.0001142870667794
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CA9,Carbonic anhydrase 9,26172,55,1.81 [1.20-2.75],0.0048547669430271
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CACNB1,Voltage-dependent L-type calcium channel subunit beta-1,21853,52,1.47 [1.05-2.07],0.0247532134575545
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CALB1,Calbindin,25836,55,1.96 [1.13-3.37],0.0156962290419016
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CALCA,Calcitonin,25733,56,1.60 [1.21-2.10],0.0008756716543146
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CALCB,Calcitonin gene-related peptide 2,22535,53,1.62 [1.08-2.43],0.018511233763383
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CAPG,Macrophage-capping protein,25753,54,2.21 [1.62-3.02],5.851702548427291e-07
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CBLIF,Cobalamin binding intrinsic factor,25913,56,1.84 [1.39-2.44],2.0000310595722872e-05
