Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Entropion and trichiasis of eyelid,27560,30,0.56 [0.32-0.98],0.0427114084998717
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other strabismus,27814,60,0.60 [0.40-0.91],0.0164540984622831
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter VIII Diseases of the ear and mastoid process,Benign paroxysmal vertigo,28134,60,0.52 [0.35-0.76],0.0006881880800887
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter X Diseases of the respiratory system,All influenza,26991,80,1.57 [1.04-2.38],0.0329323837072789
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter X Diseases of the respiratory system,All influenza (not pneumonia),26989,78,1.54 [1.01-2.35],0.0434105555942502
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter X Diseases of the respiratory system,Emphysema,25219,190,1.40 [1.06-1.83],0.0166827771034957
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter X Diseases of the respiratory system,Pneumothorax,26940,62,0.62 [0.41-0.94],0.0229516232704591
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Cholelithiasis,27456,924,1.16 [1.03-1.30],0.0162744044232223
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Chronic pancreatitis,26576,44,1.86 [1.05-3.29],0.0344828103293669
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",28184,82,2.64 [1.71-4.06],1.088115497570828e-05
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Diseases of liver,28211,773,1.30 [1.14-1.48],9.283720747522569e-05
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",27808,1276,1.18 [1.06-1.30],0.0017524562483468
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,27543,105,2.96 [2.02-4.36],3.3674910054481834e-08
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Functional dyspepsia,23088,525,0.83 [0.71-0.96],0.0124657248982174
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Hernia,27153,2815,0.93 [0.87-0.99],0.0220039353515364
