Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ERBIN,Erbin,32668,0.107018924216548,0.124972989697876,-0.137928135591289,0.351965984024385,0.391835010262886
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SIRT2,NAD-dependent protein deacetylase sirtuin-2,32668,0.0920959787928931,0.107642222072615,-0.118882776469432,0.303074734055218,0.39225625474141
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,NPY,Pro-neuropeptide Y,32794,0.0690931815131736,0.0808725615052165,-0.0894170390370509,0.227603402063398,0.392935994671718
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,WFIKKN2,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",32721,-0.0344001271697483,0.0403179980606178,-0.113423403368559,0.0446231490290625,0.393560310020024
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,OCLN,Occludin,31555,-0.0446723883536682,0.0523609928148363,-0.147299934270747,0.0579551575634109,0.393596250483192
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,BEX3,Protein BEX3,31326,0.0471211783718697,0.0552354223034647,-0.0611402493429211,0.15538260608666,0.393632828837955
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ACP5,Tartrate-resistant acid phosphatase type 5,32758,-0.0338282134817976,0.0398016703544295,-0.111839487376479,0.0441830604128841,0.395392742843392
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CD5L,CD5 antigen-like,31555,-0.0477455206692934,0.0562063493199352,-0.157909965336366,0.0624189239977797,0.395647103257672
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ERC2,ERC protein 2,31356,-0.0773559363335211,0.0911447329254756,-0.255999612867453,0.101287740200411,0.396066789389324
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,DHODH,Dihydroorotate dehydrogenase,31313,-0.0481085303293407,0.0566914177851445,-0.159223709188224,0.0630066485295426,0.396129263902333
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CD83,CD83 antigen,32728,-0.0331361069572029,0.0390684970534833,-0.10971036118203,0.0434381472676244,0.396375033253755
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,H2AP,Huntingtin-interacting protein M,31326,-0.0474123130582263,0.0559056138403638,-0.156987316185339,0.0621626900688868,0.396421801243718
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,REST,RE1-silencing transcription factor,31326,0.0360348672213709,0.0424999732484498,-0.0472650803455906,0.119334814788332,0.396532116674439
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,OTUD7B,OTU domain-containing protein 7B,31555,0.065760673171034,0.0776167775967496,-0.0863682109185952,0.217889557260663,0.39688315615907
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,DEFB116,Beta-defensin 116,31342,-0.0765836518630734,0.0903922078738102,-0.253752379295741,0.100585075569595,0.396889955612108
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SMPD1,Sphingomyelin phosphodiesterase,32762,-0.050613549972772,0.0597947522989719,-0.167811264478757,0.066584164533213,0.397321879905365
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,GP5,Platelet glycoprotein V,31417,0.0370784338391355,0.0438548190861103,-0.0488770115696407,0.123033879247912,0.397868881556445
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,31571,0.0263056415740334,0.0311194541142331,-0.0346884884898634,0.0872997716379302,0.397963005806568
