Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29065#2.Symptoms of panic attack_Sweating,KLK14,Kallikrein-14,32794,0.0660180108736555,0.0286721728739471,0.0098205520407192,0.122215469706592,0.021329211226194
Mental health,X29065#2.Symptoms of panic attack_Sweating,CD27,CD27 antigen,32720,-0.056363002612328,0.0245895469713336,-0.104558514676142,-0.00816749054851407,0.0219201551241519
Mental health,X29065#2.Symptoms of panic attack_Sweating,GADD45B,Growth arrest and DNA damage-inducible protein GADD45 beta,31456,0.0744849116105706,0.0326614808712566,0.0104684091029077,0.138501414118234,0.0226048926472718
Mental health,X29065#2.Symptoms of panic attack_Sweating,HIF1A,Hypoxia-inducible factor 1-alpha,31355,-0.0982482187264112,0.043194562716619,-0.182909561650985,-0.013586875801838,0.0229610334880393
Mental health,X29065#2.Symptoms of panic attack_Sweating,NT5C1A,Cytosolic 5'-nucleotidase 1A,31548,-0.0452939071564855,0.020033660615618,-0.0845598819630967,-0.00602793234987421,0.0237938921069139
Mental health,X29065#2.Symptoms of panic attack_Sweating,CHCHD6,MICOS complex subunit MIC25,31548,-0.0409136882036513,0.0181905637114276,-0.0765671930780494,-0.00526018332925317,0.0245298061597652
Mental health,X29065#2.Symptoms of panic attack_Sweating,DGKZ,Diacylglycerol kinase zeta,32596,0.0510695406652389,0.0227983086482497,0.00638485571466946,0.0957542256158083,0.0251121824328424
Mental health,X29065#2.Symptoms of panic attack_Sweating,ING1,Inhibitor of growth protein 1,32491,-0.0652256984426201,0.0291711449099579,-0.122401142466138,-0.00805025441910268,0.0253794334358056
Mental health,X29065#2.Symptoms of panic attack_Sweating,ATP5F1D,"ATP synthase subunit delta, mitochondrial",31313,0.0766528473824924,0.034351087138657,0.00932471659072465,0.14398097817426,0.0256807375982315
Mental health,X29065#2.Symptoms of panic attack_Sweating,ANGPT1,Angiopoietin-1,32685,0.119062261153341,0.0536340436862509,0.0139395355282892,0.224184986778393,0.0264508106639842
Mental health,X29065#2.Symptoms of panic attack_Sweating,ENTR1,Endosome-associated-trafficking regulator 1,31388,-0.0852667114486762,0.0385424618171781,-0.160809936610345,-0.00972348628700702,0.0269772416399391
Mental health,X29065#2.Symptoms of panic attack_Sweating,CDH22,Cadherin-22,31456,-0.0406925030700756,0.0184789451394491,-0.0769112355433959,-0.00447377059675538,0.0276881195962503
Mental health,X29065#2.Symptoms of panic attack_Sweating,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,31235,-0.0738645717914468,0.0336362588529374,-0.139791639143204,-0.00793750443968953,0.0281243598901471
Mental health,X29065#2.Symptoms of panic attack_Sweating,CXADR,Coxsackievirus and adenovirus receptor,32728,-0.0693908035859922,0.0317551428541971,-0.131630883580218,-0.00715072359176588,0.0289014965991385
Mental health,X29065#2.Symptoms of panic attack_Sweating,SIGLEC7,Sialic acid-binding Ig-like lectin 7,32729,-0.0385530380072151,0.0178017067234752,-0.0734443831852266,-0.00366169282920368,0.0303611918593548
Mental health,X29065#2.Symptoms of panic attack_Sweating,PSME2,Proteasome activator complex subunit 2,32610,-0.050383702898418,0.0233084127632006,-0.0960681919142911,-0.00469921388254486,0.0306752638835422
Mental health,X29065#2.Symptoms of panic attack_Sweating,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,32794,0.0461823413818104,0.0213700373810768,0.00429706811489988,0.088067614648721,0.0307157150196216
Mental health,X29065#2.Symptoms of panic attack_Sweating,PRL,Prolactin,32806,-0.102817766396747,0.0475774248248402,-0.196069519053434,-0.00956601374006028,0.030716998946786
Mental health,X29065#2.Symptoms of panic attack_Sweating,FCRLB,Fc receptor-like B,32526,0.0796535483428488,0.0368927478447212,0.00734376256719527,0.151963334118502,0.0308730960155684
Mental health,X29065#2.Symptoms of panic attack_Sweating,DAPK2,Death-associated protein kinase 2,31355,-0.0775876427925037,0.0359382789913483,-0.148026669615546,-0.00714861596946113,0.0308884988477986
Mental health,X29065#2.Symptoms of panic attack_Sweating,NAP1L4,Nucleosome assembly protein 1-like 4,31548,-0.0569074721916938,0.0263931023569601,-0.108637952811336,-0.00517699157205199,0.0311029210647071
Mental health,X29065#2.Symptoms of panic attack_Sweating,CFHR4,Complement factor H-related protein 4,31585,-0.100713460392786,0.0467696445248108,-0.192381963661415,-0.00904495712415648,0.0313185976542827
Mental health,X29065#2.Symptoms of panic attack_Sweating,ACP5,Tartrate-resistant acid phosphatase type 5,32758,-0.0450150296317143,0.0209327575915448,-0.0860432345111422,-0.00398682475228644,0.0315458101200737
Mental health,X29065#2.Symptoms of panic attack_Sweating,IGFBP7,Insulin-like growth factor-binding protein 7,32834,-0.0388319200415171,0.0181505958977629,-0.0744070880011324,-0.0032567520819019,0.0324277996695515
Mental health,X29065#2.Symptoms of panic attack_Sweating,PALLD,Palladin,31355,-0.0580523835858728,0.0272025282493427,-0.111369338954584,-0.00473542821716119,0.0328685589646997
Mental health,X29065#2.Symptoms of panic attack_Sweating,S100A12,Protein S100-A12,32581,-0.100711253604292,0.0472725828917188,-0.193365516072061,-0.00805699113652361,0.0331634658363338
Mental health,X29065#2.Symptoms of panic attack_Sweating,CGN,Cingulin,31356,-0.0523053409015908,0.0245570312431389,-0.100437122138143,-0.00417355966503849,0.0332079093839876
Mental health,X29065#2.Symptoms of panic attack_Sweating,C5,Complement C5,31598,-0.0210471776230094,0.00988875910535313,-0.0404291454695016,-0.00166520977651732,0.0333359185227164
Mental health,X29065#2.Symptoms of panic attack_Sweating,HEG1,Protein HEG homolog 1,31417,-0.0368188428261733,0.0173331701337871,-0.070791856288396,-0.00284582936395061,0.0336871407085074
Mental health,X29065#2.Symptoms of panic attack_Sweating,THRAP3,Thyroid hormone receptor-associated protein 3,31313,-0.159938019748906,0.0753654229452594,-0.307654248721614,-0.0122217907761973,0.0338566008660934
Mental health,X29065#2.Symptoms of panic attack_Sweating,WDR46,WD repeat-containing protein 46,31548,-0.0534556273454495,0.0252015219665065,-0.102850610399802,-0.0040606442910967,0.0339430356339354
Mental health,X29065#2.Symptoms of panic attack_Sweating,EPO,Erythropoietin,32728,0.102191308695871,0.0482014489262276,0.00771646880046457,0.196666148591277,0.0340263260492044
Mental health,X29065#2.Symptoms of panic attack_Sweating,HIP1R,Huntingtin-interacting protein 1-related protein,31537,-0.0598608490869817,0.0283089799134305,-0.115346449717306,-0.00437524845665783,0.0345001753568647
Mental health,X29065#2.Symptoms of panic attack_Sweating,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,32647,-0.0992873339865031,0.0469627336134161,-0.191334291868799,-0.00724037610420752,0.0345286040092909
Mental health,X29065#2.Symptoms of panic attack_Sweating,CCL15,C-C motif chemokine 15,32834,-0.0573425975903687,0.0271702481681525,-0.110596283999948,-0.00408891118078986,0.0348435750143755
Mental health,X29065#2.Symptoms of panic attack_Sweating,AGER,Advanced glycosylation end product-specific receptor,32684,0.0529807846861513,0.0251508746631201,0.00368507034643602,0.102276499025867,0.0351874914846199
Mental health,X29065#2.Symptoms of panic attack_Sweating,CAPG,Macrophage-capping protein,32650,-0.0785126653853117,0.0373617478486322,-0.151741691168631,-0.00528363960199268,0.03563264422231
Mental health,X29065#2.Symptoms of panic attack_Sweating,OSMR,Oncostatin-M-specific receptor subunit beta,32765,-0.0265454566965782,0.0126674368099756,-0.0513736328441304,-0.00171728054902612,0.0361488248694923
Mental health,X29065#2.Symptoms of panic attack_Sweating,SPINK8,Serine protease inhibitor Kazal-type 8,31313,-0.0480438081584601,0.0229757416150217,-0.0930762617239027,-0.00301135459301757,0.0365558647163243
Mental health,X29065#2.Symptoms of panic attack_Sweating,RGMA,Repulsive guidance molecule A,32806,0.0405849800717506,0.0194320766975444,0.00249810974456357,0.0786718503989376,0.0367759111412824
Mental health,X29065#2.Symptoms of panic attack_Sweating,CALY,Neuron-specific vesicular protein calcyon,31313,0.0516647636370313,0.0247591508466707,0.00313682797755676,0.100192699296506,0.0369497350051187
Mental health,X29065#2.Symptoms of panic attack_Sweating,NFYA,Nuclear transcription factor Y subunit alpha,31313,-0.052020866448359,0.0249726772658894,-0.100967313889502,-0.00307441900721571,0.0372750812949758
Mental health,X29065#2.Symptoms of panic attack_Sweating,ANXA2,Annexin A2,31274,-0.0967444552338185,0.0464750887989759,-0.187835629279811,-0.00565328118782581,0.0374094865681736
Mental health,X29065#2.Symptoms of panic attack_Sweating,IDUA,Alpha-L-iduronidase,32794,0.0611284076379464,0.0293727008867527,0.00355791389991111,0.118698901375982,0.0374504244745983
Mental health,X29065#2.Symptoms of panic attack_Sweating,ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5,32598,-0.0279478107952907,0.0134576493346577,-0.0543248034912199,-0.0015708180993615,0.0378562800928796
Mental health,X29065#2.Symptoms of panic attack_Sweating,SLITRK2,SLIT and NTRK-like protein 2,32794,0.0514116308529057,0.0247598755936849,0.00288227468928328,0.0999409870165281,0.0378846522151303
Mental health,X29065#2.Symptoms of panic attack_Sweating,CASC3,Protein CASC3,31356,-0.0578499276244864,0.0278622506649235,-0.112459938927736,-0.00323991632123627,0.0379017474462641
Mental health,X29065#2.Symptoms of panic attack_Sweating,CHRM1,Muscarinic acetylcholine receptor M1,31356,-0.0472080907167498,0.0227410698839473,-0.0917805876892864,-0.00263559374421315,0.0379375997014824
Mental health,X29065#2.Symptoms of panic attack_Sweating,EBI3_IL27,Interleukin-27,32786,0.0396157408422417,0.0191137369666728,0.00215281638756308,0.0770786652969203,0.0382351848774944
Mental health,X29065#2.Symptoms of panic attack_Sweating,RAB3GAP1,Rab3 GTPase-activating protein catalytic subunit,31342,-0.07907080456744,0.0381723276505691,-0.153888566762555,-0.00425304237232457,0.0383540476751102
Mental health,X29065#2.Symptoms of panic attack_Sweating,FMNL1,Formin-like protein 1,32502,-0.0824675129661046,0.0400245780243051,-0.160915685893742,-0.00401934003846663,0.0393880999975217
Mental health,X29065#2.Symptoms of panic attack_Sweating,COPB2,Coatomer subunit beta',31313,-0.0575077844627871,0.028010465551883,-0.112408296944478,-0.0026072719810964,0.0400994487703221
Mental health,X29065#2.Symptoms of panic attack_Sweating,GFRA2,GDNF family receptor alpha-2,32668,0.0267127139374638,0.0130402797643181,0.00115376559940033,0.0522716622755272,0.0405428543269524
Mental health,X29065#2.Symptoms of panic attack_Sweating,C1GALT1C1,C1GALT1-specific chaperone 1,31313,-0.041704410155805,0.0203656508060732,-0.0816210857357084,-0.00178773457590153,0.0406163521647032
Mental health,X29065#2.Symptoms of panic attack_Sweating,CXCL12,Stromal cell-derived factor 1,32596,0.0522009995667228,0.0255132371823422,0.00219505468933215,0.102206944444114,0.0407827137659771
Mental health,X29065#2.Symptoms of panic attack_Sweating,PPIE,Peptidyl-prolyl cis-trans isomerase E,31456,-0.0814721346177031,0.0398762617577371,-0.159629607662868,-0.00331466157253833,0.0410746338018378
Mental health,X29065#2.Symptoms of panic attack_Sweating,MAP1LC3A,Microtubule-associated proteins 1A/1B light chain 3A,31342,-0.0440554535396346,0.0215681449382005,-0.0863290176185075,-0.00178188946076165,0.0411253699533268
Mental health,X29065#2.Symptoms of panic attack_Sweating,SPRING1,SREBP regulating gene protein,31326,-0.0806668347854949,0.0395045144282897,-0.158095683064943,-0.00323798650604697,0.0411900738263167
Mental health,X29065#2.Symptoms of panic attack_Sweating,CGB3_CGB5_CGB8,Choriogonadotropin subunit beta 3,31586,-0.0572075674544714,0.0280263838863218,-0.112139279871662,-0.00227585503728067,0.0412644597414582
Mental health,X29065#2.Symptoms of panic attack_Sweating,ZHX2,Zinc fingers and homeoboxes protein 2,31548,-0.0458414269253208,0.0224796720733565,-0.0899015841890995,-0.00178126966154202,0.0414602932542823
Mental health,X29065#2.Symptoms of panic attack_Sweating,MRPL58,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",31555,-0.0948741263151225,0.0469178304408701,-0.186833073979228,-0.00291517865101708,0.0431970730821691
Mental health,X29065#2.Symptoms of panic attack_Sweating,ALMS1,Alstrom syndrome protein 1,31456,0.058379019134153,0.0289104046875323,0.00171462594658971,0.115043412321716,0.0434902440246506
