Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Bronchiectasis,RNASE3,Eosinophil cationic protein,Inverse variance weighted,14,1.01 [0.78-1.30],0.96085369550288
Chapter X Diseases of the respiratory system,Bronchiectasis,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,25,0.96 [0.82-1.13],0.643259724447788
Chapter X Diseases of the respiratory system,Bronchiectasis,CXCL9,C-X-C motif chemokine 9,Inverse variance weighted,11,0.89 [0.66-1.21],0.448971189655668
Chapter X Diseases of the respiratory system,Bronchiectasis,RRM2,Ribonucleoside-diphosphate reductase subunit M2,Wald ratio,1,2.10 [0.62-7.10],0.234603822952112
Chapter X Diseases of the respiratory system,Bronchiectasis,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,Inverse variance weighted,41,1.11 [0.95-1.31],0.198585757024762
Chapter X Diseases of the respiratory system,Bronchiectasis,ALPP,"Alkaline phosphatase, placental type",Inverse variance weighted,50,0.95 [0.86-1.06],0.392065256250979
Chapter X Diseases of the respiratory system,Bronchiectasis,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,0.98 [0.90-1.07],0.646862353091646
Chapter X Diseases of the respiratory system,Bronchiectasis,SIGLEC1,Sialoadhesin,Inverse variance weighted,31,1.07 [0.93-1.24],0.345661126854771
Chapter X Diseases of the respiratory system,Bronchiectasis,IL15RA,Interleukin-15 receptor subunit alpha,Inverse variance weighted,17,0.98 [0.83-1.16],0.822175876396562
Chapter X Diseases of the respiratory system,Bronchiectasis,IGSF3,Immunoglobulin superfamily member 3,Inverse variance weighted,6,0.79 [0.51-1.22],0.286892064982866
Chapter X Diseases of the respiratory system,Bronchiectasis,GM2A,Ganglioside GM2 activator,Inverse variance weighted,26,0.94 [0.85-1.05],0.266659554759144
Chapter X Diseases of the respiratory system,Bronchiectasis,LAG3,Lymphocyte activation gene 3 protein,Inverse variance weighted,15,0.95 [0.74-1.23],0.708874262519471
Chapter X Diseases of the respiratory system,Bronchiectasis,LILRB2,Leukocyte immunoglobulin-like receptor subfamily B member 2,Inverse variance weighted,35,0.96 [0.90-1.03],0.258136695461475
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Inverse variance weighted,27,1.03 [0.84-1.26],0.774232349643174
Chapter X Diseases of the respiratory system,Bronchiectasis,LTBR,Tumor necrosis factor receptor superfamily member 3,Inverse variance weighted,16,0.91 [0.77-1.07],0.266006882290086
Chapter X Diseases of the respiratory system,Bronchiectasis,CNTN1,Contactin-1,Inverse variance weighted,45,0.90 [0.79-1.03],0.140945912274753
Chapter X Diseases of the respiratory system,Bronchiectasis,CA6,Carbonic anhydrase 6,Inverse variance weighted,51,1.04 [0.94-1.15],0.471586243211668
Chapter X Diseases of the respiratory system,Bronchiectasis,ASGR2,Asialoglycoprotein receptor 2,Inverse variance weighted,24,1.06 [0.88-1.28],0.507274693999072
Chapter X Diseases of the respiratory system,Bronchiectasis,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,9,0.87 [0.67-1.13],0.309992288532382
Chapter X Diseases of the respiratory system,Bronchiectasis,PRG2,Bone marrow proteoglycan,Inverse variance weighted,40,0.93 [0.81-1.06],0.271123900155222
Chapter X Diseases of the respiratory system,Bronchiectasis,B2M,Beta-2-microglobulin,Inverse variance weighted,7,1.52 [0.91-2.54],0.109629488756933
Chapter X Diseases of the respiratory system,Bronchiectasis,PSAP,Prosaposin,Inverse variance weighted,13,1.01 [0.83-1.24],0.910347809568753
Chapter X Diseases of the respiratory system,Bronchiectasis,CXCL16,C-X-C motif chemokine 16,Inverse variance weighted,23,0.85 [0.65-1.09],0.202162490223774
Chapter X Diseases of the respiratory system,Bronchiectasis,TTR,Transthyretin,Inverse variance weighted,11,1.02 [0.80-1.32],0.852812941294057
Chapter X Diseases of the respiratory system,Bronchiectasis,ITGA5,Integrin alpha-5,Inverse variance weighted,19,0.92 [0.71-1.19],0.529245307876582
Chapter X Diseases of the respiratory system,Bronchiectasis,CHI3L1,Chitinase-3-like protein 1,Inverse variance weighted,28,1.03 [0.94-1.12],0.545286301883625
Chapter X Diseases of the respiratory system,Bronchiectasis,CXCL10,C-X-C motif chemokine 10,Inverse variance weighted,9,1.14 [0.98-1.33],0.0946486132561307
Chapter X Diseases of the respiratory system,Bronchiectasis,IL1RN,Interleukin-1 receptor antagonist protein,Inverse variance weighted,12,1.12 [0.83-1.52],0.455904394857323
Chapter X Diseases of the respiratory system,Bronchiectasis,CNTN5,Contactin-5,Inverse variance weighted,53,0.96 [0.88-1.04],0.320166553712069
Chapter X Diseases of the respiratory system,Bronchiectasis,PRSS8,Prostasin,Inverse variance weighted,19,1.10 [0.87-1.41],0.425014188181775
Chapter X Diseases of the respiratory system,Bronchiectasis,EPO,Erythropoietin,Inverse variance weighted,14,1.22 [0.98-1.52],0.0778284608171305
Chapter X Diseases of the respiratory system,Bronchiectasis,SLAMF8,SLAM family member 8,Inverse variance weighted,28,1.04 [0.97-1.12],0.225666998169562
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL3,C-C motif chemokine 3,Inverse variance weighted,15,0.91 [0.77-1.08],0.267492911862996
Chapter X Diseases of the respiratory system,Bronchiectasis,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,Inverse variance weighted,42,0.99 [0.85-1.16],0.931095663173171
Chapter X Diseases of the respiratory system,Bronchiectasis,CD40,Tumor necrosis factor receptor superfamily member 5,Inverse variance weighted,11,0.84 [0.72-0.99],0.0398107033790963
Chapter X Diseases of the respiratory system,Bronchiectasis,EDN1,Endothelin-1,Inverse variance weighted,3,1.14 [0.87-1.50],0.330864553250882
Chapter X Diseases of the respiratory system,Bronchiectasis,SIGLEC10,Sialic acid-binding Ig-like lectin 10,Inverse variance weighted,22,1.07 [0.94-1.22],0.317805721218301
Chapter X Diseases of the respiratory system,Bronchiectasis,TPP1,Tripeptidyl-peptidase 1,Inverse variance weighted,18,0.88 [0.71-1.10],0.257703415865297
Chapter X Diseases of the respiratory system,Bronchiectasis,GOLM2,Protein GOLM2,Inverse variance weighted,14,0.91 [0.73-1.15],0.442813353903735
Chapter X Diseases of the respiratory system,Bronchiectasis,SIRPB1,Signal-regulatory protein beta-1,Inverse variance weighted,34,1.08 [0.97-1.19],0.148396735447081
Chapter X Diseases of the respiratory system,Bronchiectasis,PTPRC,Receptor-type tyrosine-protein phosphatase C,Inverse variance weighted,15,1.12 [0.81-1.53],0.497318913653558
Chapter X Diseases of the respiratory system,Bronchiectasis,RNASE4,Ribonuclease 4,Inverse variance weighted,13,0.97 [0.79-1.19],0.781334371185031
Chapter X Diseases of the respiratory system,Bronchiectasis,CBLN4,Cerebellin-4,Inverse variance weighted,17,0.95 [0.80-1.13],0.574859278538913
Chapter X Diseases of the respiratory system,Bronchiectasis,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,0.72 [0.35-1.45],0.357940423272203
Chapter X Diseases of the respiratory system,Bronchiectasis,SPINT1,Kunitz-type protease inhibitor 1,Inverse variance weighted,21,1.09 [0.89-1.34],0.383342956254908
Chapter X Diseases of the respiratory system,Bronchiectasis,EFNA1,Ephrin-A1,Inverse variance weighted,15,1.03 [0.88-1.22],0.681351007081026
Chapter X Diseases of the respiratory system,Bronchiectasis,NRP2,Neuropilin-2,Inverse variance weighted,26,1.11 [0.92-1.34],0.269324489199357
Chapter X Diseases of the respiratory system,Bronchiectasis,SFTPD,Pulmonary surfactant-associated protein D,Inverse variance weighted,54,1.01 [0.94-1.08],0.884898692062217
Chapter X Diseases of the respiratory system,Bronchiectasis,FCRL5,Fc receptor-like protein 5,Inverse variance weighted,40,1.07 [0.96-1.21],0.22516984373832
Chapter X Diseases of the respiratory system,Bronchiectasis,SFTPA2,Pulmonary surfactant-associated protein A2,Inverse variance weighted,27,0.95 [0.87-1.04],0.28286355924999
Chapter X Diseases of the respiratory system,Bronchiectasis,PGLYRP1,Peptidoglycan recognition protein 1,Inverse variance weighted,24,0.86 [0.73-1.01],0.0721596484572645
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,1.06 [0.79-1.42],0.716891706034296
Chapter X Diseases of the respiratory system,Bronchiectasis,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",Inverse variance weighted,4,1.40 [0.69-2.86],0.35457688300456
Chapter X Diseases of the respiratory system,Bronchiectasis,CFHR5,Complement factor H-related protein 5,Inverse variance weighted,46,1.04 [0.96-1.13],0.375441497434163
Chapter X Diseases of the respiratory system,Bronchiectasis,LGMN,Legumain,Inverse variance weighted,32,1.10 [0.94-1.29],0.244486028516628
Chapter X Diseases of the respiratory system,Bronchiectasis,ELOA,Elongin-A,Inverse variance weighted,2,0.67 [0.36-1.24],0.198984393461243
Chapter X Diseases of the respiratory system,Bronchiectasis,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,Inverse variance weighted,2,0.54 [0.21-1.40],0.206461635580168
Chapter X Diseases of the respiratory system,Bronchiectasis,IL12RB1,Interleukin-12 receptor subunit beta-1,Inverse variance weighted,22,0.88 [0.77-1.02],0.0940095602318647
Chapter X Diseases of the respiratory system,Bronchiectasis,NPDC1,Neural proliferation differentiation and control protein 1,Inverse variance weighted,7,0.83 [0.52-1.35],0.457856807836331
Chapter X Diseases of the respiratory system,Bronchiectasis,DLL1,Delta-like protein 1,Inverse variance weighted,13,1.08 [0.80-1.45],0.62873698990914
Chapter X Diseases of the respiratory system,Bronchiectasis,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,31,1.40 [1.09-1.80],0.0078579284875871
Chapter X Diseases of the respiratory system,Bronchiectasis,CTHRC1,Collagen triple helix repeat-containing protein 1,Inverse variance weighted,10,1.26 [0.79-2.00],0.329309485830165
Chapter X Diseases of the respiratory system,Bronchiectasis,GADD45GIP1,Growth arrest and DNA damage-inducible proteins-interacting protein 1,Wald ratio,1,1.38 [0.68-2.84],0.374233631508723
Chapter X Diseases of the respiratory system,Bronchiectasis,VWA1,von Willebrand factor A domain-containing protein 1,Inverse variance weighted,12,0.95 [0.85-1.05],0.300592184087696
Chapter X Diseases of the respiratory system,Bronchiectasis,EFNA4,Ephrin-A4,Inverse variance weighted,5,1.42 [0.90-2.22],0.127696440651561
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL14,C-C motif chemokine 14,Inverse variance weighted,17,0.97 [0.87-1.08],0.528305238830306
Chapter X Diseases of the respiratory system,Bronchiectasis,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,23,0.96 [0.82-1.11],0.571994375907052
Chapter X Diseases of the respiratory system,Bronchiectasis,DTNB,Dystrobrevin beta,Inverse variance weighted,4,0.87 [0.34-2.26],0.782063321186019
Chapter X Diseases of the respiratory system,Bronchiectasis,TGFB1,Transforming growth factor beta-1 proprotein,Inverse variance weighted,9,1.01 [0.73-1.40],0.966093128325689
Chapter X Diseases of the respiratory system,Bronchiectasis,CLEC3B,Tetranectin,Inverse variance weighted,9,1.02 [0.80-1.29],0.887594447677947
Chapter X Diseases of the respiratory system,Bronchiectasis,NT5C1A,Cytosolic 5'-nucleotidase 1A,Inverse variance weighted,4,1.36 [0.95-1.96],0.0938011979095452
Chapter X Diseases of the respiratory system,Bronchiectasis,DEFA1_DEFA1B,Neutrophil defensin 1,Inverse variance weighted,31,0.87 [0.69-1.10],0.246503389125947
Chapter X Diseases of the respiratory system,Bronchiectasis,ATRAID,All-trans retinoic acid-induced differentiation factor,Inverse variance weighted,17,1.03 [0.88-1.22],0.704855392176474
Chapter X Diseases of the respiratory system,Bronchiectasis,SDC1,Syndecan-1,Inverse variance weighted,14,1.01 [0.77-1.34],0.919201306243986
Chapter X Diseases of the respiratory system,Bronchiectasis,S100A12,Protein S100-A12,Inverse variance weighted,7,1.03 [0.81-1.30],0.824489210966218
Chapter X Diseases of the respiratory system,Bronchiectasis,TREM2,Triggering receptor expressed on myeloid cells 2,Inverse variance weighted,39,1.14 [1.03-1.27],0.0150082567853329
Chapter X Diseases of the respiratory system,Bronchiectasis,IL18BP,Interleukin-18-binding protein,Inverse variance weighted,13,1.06 [0.80-1.42],0.672543127639487
Chapter X Diseases of the respiratory system,Bronchiectasis,GAST,Gastrin,Inverse variance weighted,9,1.03 [0.69-1.54],0.874715941300807
Chapter X Diseases of the respiratory system,Bronchiectasis,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,30,1.12 [0.97-1.29],0.11158617578569
Chapter X Diseases of the respiratory system,Bronchiectasis,NTRK3,NT-3 growth factor receptor,Inverse variance weighted,15,0.91 [0.75-1.11],0.358097419272518
Chapter X Diseases of the respiratory system,Bronchiectasis,FGF23,Fibroblast growth factor 23,Inverse variance weighted,17,1.13 [0.89-1.45],0.32057534238548
Chapter X Diseases of the respiratory system,Bronchiectasis,CKAP4,Cytoskeleton-associated protein 4,Inverse variance weighted,15,1.11 [0.87-1.40],0.400061772612486
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL23,C-C motif chemokine 23,Inverse variance weighted,23,1.05 [0.92-1.19],0.470774536739311
Chapter X Diseases of the respiratory system,Bronchiectasis,MECR,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial",Inverse variance weighted,2,0.64 [0.28-1.43],0.277948526628392
Chapter X Diseases of the respiratory system,Bronchiectasis,CFI,Complement factor I,Inverse variance weighted,8,0.91 [0.70-1.17],0.447634777349965
Chapter X Diseases of the respiratory system,Bronchiectasis,PALM2,Paralemmin-2,Inverse variance weighted,9,1.06 [0.84-1.35],0.623973674030391
Chapter X Diseases of the respiratory system,Bronchiectasis,SELE,E-selectin,Inverse variance weighted,24,1.26 [1.13-1.40],3.48693966461534e-05
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL15,C-C motif chemokine 15,Inverse variance weighted,28,0.95 [0.87-1.03],0.243715868289762
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,Inverse variance weighted,23,1.05 [0.85-1.29],0.6566139958802
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL16,C-C motif chemokine 16,Inverse variance weighted,26,1.05 [0.95-1.17],0.364230903755894
Chapter X Diseases of the respiratory system,Bronchiectasis,MSR1,Macrophage scavenger receptor types I and II,Inverse variance weighted,25,1.02 [0.87-1.20],0.806140442309756
Chapter X Diseases of the respiratory system,Bronchiectasis,SCGB3A2,Secretoglobin family 3A member 2,Inverse variance weighted,32,1.01 [0.86-1.19],0.883338224123244
Chapter X Diseases of the respiratory system,Bronchiectasis,MPO,Myeloperoxidase,Inverse variance weighted,26,1.07 [0.96-1.20],0.220660180563855
Chapter X Diseases of the respiratory system,Bronchiectasis,CD83,CD83 antigen,Inverse variance weighted,19,1.11 [0.87-1.43],0.392263310912743
Chapter X Diseases of the respiratory system,Bronchiectasis,FCAR,Immunoglobulin alpha Fc receptor,Inverse variance weighted,36,1.01 [0.92-1.11],0.818092951659774
Chapter X Diseases of the respiratory system,Bronchiectasis,CALCA,Calcitonin,Inverse variance weighted,17,1.18 [0.86-1.63],0.299009222273446
Chapter X Diseases of the respiratory system,Bronchiectasis,EBI3_IL27,Interleukin-27,Inverse variance weighted,37,1.02 [0.90-1.15],0.753069370112979
Chapter X Diseases of the respiratory system,Bronchiectasis,CHGA,Chromogranin-A,Inverse variance weighted,8,0.99 [0.73-1.35],0.938982987816109
