Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Epilepsy,LRRN1,Leucine-rich repeat neuronal protein 1,Inverse variance weighted,41,0.98 [0.93-1.04],0.602704497480806
Chapter VI Diseases of the nervous system,Epilepsy,ACE2,Angiotensin-converting enzyme 2,Inverse variance weighted,11,1.06 [0.89-1.27],0.522935134650351
Chapter VI Diseases of the nervous system,Epilepsy,CSF1,Macrophage colony-stimulating factor 1,Inverse variance weighted,12,0.99 [0.90-1.10],0.913881783035505
Chapter VI Diseases of the nervous system,Epilepsy,NECTIN2,Nectin-2,Inverse variance weighted,8,1.01 [0.91-1.13],0.821244988458834
Chapter VI Diseases of the nervous system,Epilepsy,CD27,CD27 antigen,Inverse variance weighted,18,1.08 [0.99-1.17],0.0968658958491532
Chapter VI Diseases of the nervous system,Epilepsy,CTBS,Di-N-acetylchitobiase,Inverse variance weighted,32,1.02 [0.99-1.06],0.146733083794358
Chapter VI Diseases of the nervous system,Epilepsy,GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,Inverse variance weighted,19,0.98 [0.92-1.05],0.580552706630539
Chapter VI Diseases of the nervous system,Epilepsy,LAYN,Layilin,Inverse variance weighted,23,0.97 [0.90-1.04],0.427797140182588
Chapter VI Diseases of the nervous system,Epilepsy,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,17,0.98 [0.90-1.08],0.708925999118043
Chapter VI Diseases of the nervous system,Epilepsy,CD300A,CMRF35-like molecule 8,Inverse variance weighted,35,1.01 [0.95-1.07],0.75605026241581
Chapter VI Diseases of the nervous system,Epilepsy,TNFSF11,Tumor necrosis factor ligand superfamily member 11,Inverse variance weighted,20,1.01 [0.93-1.08],0.892870816539344
Chapter VI Diseases of the nervous system,Epilepsy,CDHR5,Cadherin-related family member 5,Inverse variance weighted,47,1.04 [1.00-1.08],0.0596180257140395
Chapter VI Diseases of the nervous system,Epilepsy,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,10,1.09 [0.96-1.24],0.162747653427145
Chapter VI Diseases of the nervous system,Epilepsy,SHISA5,Protein shisa-5,Inverse variance weighted,16,1.09 [0.93-1.28],0.289335803963902
Chapter VI Diseases of the nervous system,Epilepsy,SIGLEC1,Sialoadhesin,Inverse variance weighted,31,1.02 [0.95-1.09],0.633939447998657
Chapter VI Diseases of the nervous system,Epilepsy,LRG1,Leucine-rich alpha-2-glycoprotein,Inverse variance weighted,27,1.03 [0.97-1.09],0.327799880331296
Chapter VI Diseases of the nervous system,Epilepsy,PGF,Placenta growth factor,Inverse variance weighted,8,1.13 [0.92-1.40],0.240671768811957
Chapter VI Diseases of the nervous system,Epilepsy,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,Inverse variance weighted,3,1.05 [0.82-1.36],0.687453699982516
Chapter VI Diseases of the nervous system,Epilepsy,IGFBP2,Insulin-like growth factor-binding protein 2,Inverse variance weighted,13,0.97 [0.83-1.13],0.658820731751599
Chapter VI Diseases of the nervous system,Epilepsy,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,0.82 [0.66-1.02],0.0752427157061337
Chapter VI Diseases of the nervous system,Epilepsy,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,1.13 [0.85-1.51],0.394012771211005
Chapter VI Diseases of the nervous system,Epilepsy,SHBG,Sex hormone-binding globulin,Inverse variance weighted,23,0.97 [0.91-1.03],0.307023216735626
Chapter VI Diseases of the nervous system,Epilepsy,CPM,Carboxypeptidase M,Inverse variance weighted,23,1.01 [0.91-1.13],0.828378749804507
Chapter VI Diseases of the nervous system,Epilepsy,IL18BP,Interleukin-18-binding protein,Inverse variance weighted,13,1.09 [0.96-1.23],0.199948117115254
Chapter VI Diseases of the nervous system,Epilepsy,OCLN,Occludin,Inverse variance weighted,3,1.06 [0.88-1.29],0.533840407184374
Chapter VI Diseases of the nervous system,Epilepsy,CTSL,Cathepsin L1,Inverse variance weighted,29,0.96 [0.89-1.05],0.419472642627116
Chapter VI Diseases of the nervous system,Epilepsy,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,29,0.99 [0.92-1.06],0.71169685598102
Chapter VI Diseases of the nervous system,Epilepsy,CKAP4,Cytoskeleton-associated protein 4,Inverse variance weighted,15,1.03 [0.93-1.14],0.561659359163833
Chapter VI Diseases of the nervous system,Epilepsy,NOS3,"Nitric oxide synthase, endothelial",Inverse variance weighted,5,1.05 [0.83-1.34],0.673637971405503
Chapter VI Diseases of the nervous system,Epilepsy,LTBR,Tumor necrosis factor receptor superfamily member 3,Inverse variance weighted,16,0.98 [0.91-1.05],0.561717086415153
Chapter VI Diseases of the nervous system,Epilepsy,IL4R,Interleukin-4 receptor subunit alpha,Inverse variance weighted,18,1.11 [1.04-1.19],0.0026301744085173
Chapter VI Diseases of the nervous system,Epilepsy,RNF149,E3 ubiquitin-protein ligase RNF149,Inverse variance weighted,10,1.02 [0.92-1.12],0.757279101664955
Chapter VI Diseases of the nervous system,Epilepsy,CXADR,Coxsackievirus and adenovirus receptor,Inverse variance weighted,13,0.90 [0.79-1.04],0.142507449731254
Chapter VI Diseases of the nervous system,Epilepsy,AMBP,Protein AMBP,Inverse variance weighted,5,1.08 [0.92-1.27],0.336507347454917
Chapter VI Diseases of the nervous system,Epilepsy,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,4,1.34 [1.05-1.71],0.0201673243993629
Chapter VI Diseases of the nervous system,Epilepsy,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,29,0.98 [0.93-1.03],0.37404524711234
Chapter VI Diseases of the nervous system,Epilepsy,CD14,Monocyte differentiation antigen CD14,Inverse variance weighted,17,1.04 [0.97-1.12],0.30307771479311
Chapter VI Diseases of the nervous system,Epilepsy,EFNA4,Ephrin-A4,Inverse variance weighted,5,0.94 [0.78-1.15],0.563982014196126
