Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PSMG4,Proteasome assembly chaperone 4,48252,0.0215078968443557,0.00476158339283234,0.0121751933944043,0.0308406002943071,6.30978274663626e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,BOLA2_BOLA2B,BolA-like protein 2,48283,0.0196575301239854,0.00441243700769469,0.0110091535889038,0.028305906659067,8.43444574894677e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,TXN,Thioredoxin,48543,0.0159046466467909,0.00360680512371414,0.00883530860431115,0.0229739846892706,1.04092728285187e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PPME1,Protein phosphatase methylesterase 1,51847,0.0216080856839613,0.00493389571340158,0.0119376500856943,0.0312785212822284,1.19461614073128e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,SEPTIN8,Septin-8,48756,0.0119897516232585,0.00275088987503083,0.00659800746819808,0.0173814957783189,1.31605269931482e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PDCD5,Programmed cell death protein 5,52166,0.0210408342711909,0.00483193794018635,0.0115702359084257,0.0305114326339562,1.3391295522623e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DNAJB2,DnaJ homolog subfamily B member 2,48385,0.0192922949975302,0.00443226457523117,0.0106050564300771,0.0279795335649833,1.35148680527183e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,BCL2L15,Bcl-2-like protein 15,48252,0.0210398551950504,0.0049038022829981,0.0114284027203741,0.0306513076697267,1.79108192171521e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,RILP,Rab-interacting lysosomal protein,52099,0.0210948432656333,0.00496556772943231,0.0113623305159459,0.0308273560153206,2.16301020612119e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GATA3,Trans-acting T-cell-specific transcription factor GATA-3,48131,0.00931951520897332,0.0022205591481753,0.00496721927854974,0.0136718111393969,2.71762266934603e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CCS,Copper chaperone for superoxide dismutase,51761,0.0163489690592217,0.00389915976105292,0.00870661592755798,0.0239913221908854,2.76376681342719e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ADD1,Alpha-adducin,48385,0.0243746717373438,0.00581573689035943,0.0129758274322393,0.0357735160424483,2.78739194979675e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,AK1,Adenylate kinase isoenzyme 1,51955,0.0219480452788422,0.00526351311289368,0.0116315595775705,0.0322645309801138,3.05903078789202e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ANKRD54,Ankyrin repeat domain-containing protein 54,51406,0.0199851219632127,0.00480510687458278,0.0105671124890305,0.029403131437395,3.20613420256526e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,UBAC1,Ubiquitin-associated domain-containing protein 1,51847,0.0115509276141066,0.00279416884778678,0.00607435667244449,0.0170274985557687,3.57845958677815e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PKLR,Pyruvate kinase PKLR,51965,0.0222452550868852,0.00539168577201102,0.0116775509737436,0.0328129592000268,3.70656127009577e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GIPC2,PDZ domain-containing protein GIPC2,48794,0.0105406870651166,0.00256207108770098,0.00551902773322272,0.0155623463970106,3.90186901767871e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ADGRE5,Adhesion G protein-coupled receptor E5,52138,0.0106043216389828,0.00258084584732201,0.00554586377823166,0.0156627794997339,3.98970572006047e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,NSFL1C,NSFL1 cofactor p47,52166,0.021835607227848,0.0053256425619978,0.0113973478063323,0.0322738666493637,4.14375879115331e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,RBKS,Ribokinase,51420,0.0173026839490811,0.00424094238724339,0.00899043687008402,0.0256149310280781,4.5205238882663e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,AMPD3,AMP deaminase 3,48794,0.0238519005027132,0.00586275273404224,0.0123609051439904,0.035342895861436,4.75211383639575e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DNPEP,Aspartyl aminopeptidase,48794,0.0190903150720846,0.00469706324081669,0.00988407112008387,0.0282965590240853,4.83573186218838e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,UROD,Uroporphyrinogen decarboxylase,48385,0.0227921046047573,0.00560823527799902,0.0117999634598792,0.0337842457496354,4.84163390064785e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,LXN,Latexin,51647,0.023574042134139,0.00580828595718707,0.0121898016580524,0.0349582826102257,4.95111397930334e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PEBP1,Phosphatidylethanolamine-binding protein 1,51969,0.0191917491239414,0.00475856968068441,0.00986495254979993,0.0285185456980828,5.52224991559765e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,HDDC2,5'-deoxynucleotidase HDDC2,48778,0.0147246927316605,0.0036662602745518,0.00753882259353895,0.021910562869782,5.93404346691079e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PSMD1,26S proteasome non-ATPase regulatory subunit 1,48801,0.016533392377524,0.00411819749300283,0.00846172529123849,0.0246050594638096,5.97323611373463e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ST13,Hsc70-interacting protein,48385,0.01823190454675,0.00454870320359896,0.00931644626769605,0.027147362825804,6.14193189461162e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,YOD1,Ubiquitin thioesterase OTU1,48148,0.0205987428844092,0.00516774664522334,0.0104699594597714,0.0307275263090469,6.74347514461006e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",52099,0.0233155171681503,0.00585831084698631,0.0118332279080571,0.0347978064282434,6.91499815285157e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CA2,Carbonic anhydrase 2,51892,0.0225687980131919,0.00568721895808675,0.0114218488553418,0.0337157471710419,7.25929519631755e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PSMD9,26S proteasome non-ATPase regulatory subunit 9,51847,0.0180682321955832,0.00462763510515181,0.00899806738948566,0.0271383970016808,9.4718158850531e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,MYOC,Myocilin,51969,0.0145985207504496,0.00374771587726864,0.00725299763100307,0.0219440438698962,9.83455900300133e-05
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,LMOD1,Leiomodin-1,48801,0.0112819527586881,0.00289973395903359,0.00559847419898227,0.0169654313183939,0.000100281919887672
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,IL3,Interleukin-3,48131,0.0196938132206219,0.00507782667725334,0.00974127293320532,0.0296463535080384,0.000105492806247514
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PRDX2,Peroxiredoxin-2,48519,0.0196797142245452,0.00514322957444381,0.00959898425863531,0.029760444190455,0.000130462879129562
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",51847,0.0142269248154708,0.00372135499123624,0.00693306903264775,0.0215207805982938,0.000132154883637148
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GOT1,"Aspartate aminotransferase, cytoplasmic",48854,0.01365373786423,0.00357582425726765,0.0066451223199854,0.0206623534084746,0.000134749073076508
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,STIP1,Stress-induced-phosphoprotein 1,51923,0.0204974718998144,0.00537552118302487,0.00996145038108563,0.0310334934185431,0.000137580222608211
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CDCP1,CUB domain-containing protein 1,51761,-0.0176312020161869,0.00465678022794094,-0.0267584912629511,-0.00850391276942265,0.000153394134294604
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CA3,Carbonic anhydrase 3,52216,0.0188610889238504,0.00499647474038268,0.00906799843270037,0.0286541794150005,0.000160476839150538
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CXCL8,Interleukin-8,51802,0.0215918651041661,0.00576788271402295,0.0102868149846811,0.0328969152236511,0.000181938131538656
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ATP6V1F,V-type proton ATPase subunit F,51415,0.0209326308378366,0.00559904813027057,0.00995849650250632,0.031906765173167,0.000185495918274266
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ARG1,Arginase-1,51797,0.0159355202259424,0.00430889700646319,0.00749008209327454,0.0243809583586102,0.000217563412245071
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,AMBP,Protein AMBP,52127,-0.00616866964809974,0.00166998184081653,-0.00944183405610015,-0.00289550524009933,0.000221380310542588
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,51761,0.013158753008167,0.00356366284460695,0.00617397383273737,0.0201435321835966,0.000222587887658519
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,TRIM21,E3 ubiquitin-protein ligase TRIM21,51933,0.0222938166309392,0.00608376212803643,0.0103696428599878,0.0342179904018906,0.000248391810989438
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ATG4A,Cysteine protease ATG4A,51406,0.0181657503943143,0.00497300057567252,0.00841866926599616,0.0279128315226324,0.000259900982242276
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,AHSP,Alpha-hemoglobin-stabilizing protein,51926,0.0250787631301831,0.00687962913316111,0.0115946900291873,0.0385628362311789,0.000267592043674618
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,51999,0.015426910610243,0.00423631520952012,0.00712373279958357,0.0237300884209025,0.000271547009068517
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,IL19,Interleukin-19,51375,0.0221763377771755,0.00610058214775758,0.0102191967675707,0.0341334787867804,0.000278464856528642
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",51969,0.0140454325012013,0.00386644276287682,0.00646720468596272,0.0216236603164399,0.000281126020114693
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,KYAT1,Kynurenine--oxoglutarate transaminase 1,51918,0.0171283617940567,0.00473637015712917,0.00784507628608348,0.0264116473020298,0.000299419028372545
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PSMG3,Proteasome assembly chaperone 3,51933,0.0151893443464895,0.00422142297255965,0.00691535532027254,0.0234633333727064,0.000321142481653935
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ENTR1,Endosome-associated-trafficking regulator 1,48283,0.0184141601224684,0.00512211331110895,0.00837481803269483,0.0284535022122419,0.000325144746499977
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ACYP1,Acylphosphatase-1,48318,0.0194804226171099,0.00543786299672652,0.00882221114352597,0.0301386340906939,0.00034131441741348
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GMPR,GMP reductase 1,52231,0.0142698419360112,0.00398627847384831,0.00645673612726853,0.0220829477447539,0.000344624780009103
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,LBR,Delta(14)-sterol reductase LBR,52166,0.0207142461364876,0.00581512957979791,0.00931659216008373,0.0321119001128916,0.000368583937285775
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,RANBP1,Ran-specific GTPase-activating protein,48283,0.0153495552004065,0.00432611527790875,0.00687036925570539,0.0238287411451077,0.00038890137806727
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,KCTD5,BTB/POZ domain-containing protein KCTD5,48410,0.0136034755153097,0.00383457409514533,0.00608771028882484,0.0211192407417945,0.000389679412334135
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DXO,Decapping and exoribonuclease protein,48794,0.0133295552703556,0.00376095892684609,0.00595807577373723,0.0207010347669739,0.000394709926527201
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PPCDC,Phosphopantothenoylcysteine decarboxylase,52166,0.0137042444434489,0.00389237412863907,0.00607519115131627,0.0213332977355814,0.000431070297607005
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,TREM2,Triggering receptor expressed on myeloid cells 2,51928,-0.0158411390922908,0.0045070453641439,-0.0246749480060129,-0.00700733017856879,0.000441001760293021
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,NADK,NAD kinase,51955,0.0167412608198624,0.00476857572300543,0.00739485240277175,0.0260876692369531,0.000447692418524585
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,48801,0.0145949220626303,0.00418929086935648,0.00638391195869157,0.022805932166569,0.000495276094789622
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,SOD1,Superoxide dismutase [Cu-Zn],51513,0.0139699953734634,0.00401599224664191,0.00609865057004525,0.0218413401768815,0.000504992546232629
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GLRX,Glutaredoxin-1,51807,0.0166096377177251,0.00479096637753104,0.00721934361776425,0.0259999318176859,0.000527517636457951
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CD163,Scavenger receptor cysteine-rich type 1 protein M130,52074,0.0124809477316827,0.00360296424768839,0.00541913780621343,0.0195427576571519,0.000533002152615985
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DDI2,Protein DDI1 homolog 2,48385,0.0218258169058342,0.00632819540185157,0.00942255391820514,0.0342290798934633,0.000563881086538109
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ALDH1A1,Retinal dehydrogenase 1,51969,0.0154649458490358,0.00449631290796716,0.00665217254942021,0.0242777191486515,0.000583865461567774
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,MDH1,"Malate dehydrogenase, cytoplasmic",48761,0.0113420116655879,0.00329929667033014,0.00487539019174087,0.017808633139435,0.000587848934074128
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CLNS1A,Methylosome subunit pICln,48300,0.0098029969564258,0.00286406123967129,0.00418943692667008,0.0154165569861815,0.000621145896626895
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PARK7,Parkinson disease protein 7,51969,0.0145404269243179,0.00425642657552143,0.00619783083629595,0.0228830230123399,0.000636303477381641
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,48778,-0.0235689446931906,0.00690294369392866,-0.0370987143332908,-0.0100391750530905,0.000640642513137874
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PLPBP,Pyridoxal phosphate homeostasis protein,51955,0.0190774015878648,0.00561205592401701,0.00807777197679148,0.0300770311989382,0.000676565068810101
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,VWC2,Brorin,51689,-0.0114144051978394,0.00336205866187164,-0.0180040401751078,-0.004824770220571,0.000687279564880875
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GBP1,Guanylate-binding protein 1,48755,0.0182955282467904,0.00539178942377504,0.00772762097619132,0.0288634355173895,0.000692090162787193
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CD2AP,CD2-associated protein,51955,0.0178023456443032,0.00526026186137492,0.00749223239600831,0.028112458892598,0.000714752608157274
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CC2D1A,Coiled-coil and C2 domain-containing protein 1A,51761,0.020719651691462,0.0061355164992786,0.00869403935287592,0.0327452640300481,0.00073401029228051
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,NUDT5,ADP-sugar pyrophosphatase,51969,0.0140612723586702,0.00416741509966928,0.00589313876331837,0.0222294059540219,0.000741779776175961
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,STAMBP,STAM-binding protein,51729,0.0177242431867007,0.00526609305229904,0.00740270080419462,0.0280457855692069,0.000764657904630754
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PGD,"6-phosphogluconate dehydrogenase, decarboxylating",48840,0.0147893227214794,0.00440008795454418,0.00616515033057278,0.023413495112386,0.000777643232648814
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,BPIFA2,BPI fold-containing family A member 2,47623,0.0308236319053094,0.00917266956059815,0.012845199566537,0.0488020642440817,0.000779891005211025
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,NAMPT,Nicotinamide phosphoribosyltransferase,51406,0.0150548153613174,0.00448566328572113,0.00626291532130401,0.0238467154013308,0.000791483377300547
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,TSNAX,Translin-associated protein X,48148,0.011145306070651,0.00332337239851625,0.0046314961695592,0.0176591159717429,0.000799152179208293
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,MIF,Macrophage migration inhibitory factor,51923,0.0186722944332161,0.00557472274011502,0.0077458378625907,0.0295987510038416,0.000810983872926533
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,IGBP1,Immunoglobulin-binding protein 1,48801,0.0168162305650042,0.00502126901250717,0.00697454330049016,0.0266579178295183,0.000812520460465348
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,RAB44,Ras-related protein Rab-44,48767,0.013105005399225,0.00392968372433988,0.00540282529951885,0.0208071854989312,0.000854915029089721
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,TGM2,Protein-glutamine gamma-glutamyltransferase 2,51913,0.0208522871374172,0.006256080277592,0.00859036979333691,0.0331142044814975,0.000860105338893963
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GNPDA1,Glucosamine-6-phosphate isomerase 1,48283,0.00929299192620349,0.00279944581242697,0.00380607813384664,0.0147799057185604,0.00090315819949892
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,C9orf40,Uncharacterized protein C9orf40,48778,0.021750727362263,0.00658321449117778,0.00884762695955453,0.0346538277649714,0.000954928003391661
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PYDC1,Pyrin domain-containing protein 1,48283,0.011056023171527,0.00334901614462975,0.00449195152805269,0.0176200948150013,0.000964177564214016
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,VASN,Vasorin,51618,-0.00751987124367136,0.00227921779324368,-0.011987138118429,-0.00305260436891374,0.000970661250603137
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,APCS,Serum amyloid P-component,48688,-0.00886053226815685,0.00268593674393478,-0.014124968286269,-0.00359609625004468,0.000972467169943726
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,MYL4,Myosin light chain 4,48283,0.0146972925102408,0.00445551179693313,0.0059644893882519,0.0234300956322298,0.000973140939452391
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,WDR46,WD repeat-containing protein 46,48767,0.0101931909870562,0.00310772123368267,0.00410205736903817,0.0162843246050742,0.00103999053611775
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,SF3B4,Splicing factor 3B subunit 4,51847,0.0201601287957273,0.00616709635766106,0.00807261993471166,0.032247637656743,0.00108091838648203
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,TALDO1,Transaldolase,48786,0.0119121077497295,0.00368704234425863,0.00468550475498261,0.0191387107444764,0.00123640695292067
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CXCL9,C-X-C motif chemokine 9,52044,0.0174571419007289,0.00542434199126628,0.00682543159784704,0.0280888522036109,0.00129129675147711
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CCL13,C-C motif chemokine 13,52199,0.0183420680110586,0.00572821690614807,0.00711476287500836,0.0295693731471088,0.00136631630707933
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,BLVRB,Flavin reductase,51969,0.0176187106895586,0.00550542385238334,0.0068280799388872,0.0284093414402299,0.0013749377184708
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CASP8,Caspase-8,52099,0.01669468853818,0.0052183796490119,0.00646666442611666,0.0269227126502433,0.00137987961031901
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DARS1,"Aspartate--tRNA ligase, cytoplasmic",51729,0.0190976382747658,0.00598857085279231,0.00736003940329285,0.0308352371462387,0.00142949015163013
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,NAGK,N-acetyl-D-glucosamine kinase,48250,0.0151941425911547,0.00476952106890607,0.00584588129609885,0.0245424038862106,0.00144642517563883
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GSTP1,Glutathione S-transferase P,51299,0.0184022954012275,0.00577784204686456,0.00707772498937293,0.029726865813082,0.00144961023736388
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,51962,0.0158318090408065,0.00497350582611539,0.00608373762162038,0.0255798804599927,0.0014583310975628
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,SNX15,Sorting nexin-15,48385,0.0143654313602274,0.00452189203240372,0.0055025229767161,0.0232283397437387,0.00149106031784438
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,RWDD1,RWD domain-containing protein 1,52166,0.0164767025920783,0.00519443457069585,0.00629561083351443,0.0266577943506421,0.00151591527995491
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,48778,0.0130823574954753,0.00413957090117491,0.00496879852917249,0.0211959164617781,0.00157830242696633
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DNAJA4,DnaJ homolog subfamily A member 4,48794,0.0185165024142002,0.00586333931781411,0.00702435735128454,0.0300086474771159,0.00159082278689364
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,HDGFL2,Hepatoma-derived growth factor-related protein 2,48794,0.0168486324508403,0.0053571688252057,0.00634858155343717,0.0273486833482435,0.0016629197324176
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,OMG,Oligodendrocyte-myelin glycoprotein,51847,-0.0182931624564693,0.00582198698911859,-0.0297042569551417,-0.00688206795779683,0.00167961427518546
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,EBI3_IL27,Interleukin-27,52135,0.00792963679760074,0.00253633445753178,0.00295842126083844,0.012900852334363,0.00177166412984747
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,51531,0.0081470894081454,0.00261868443090942,0.00301446792356294,0.0132797108927279,0.00186596331857204
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PTGR1,Prostaglandin reductase 1,48840,0.0213919197145303,0.00688261306666406,0.00790199810386877,0.0348818413251919,0.001885487078753
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,NRP1,Neuropilin-1,52108,0.00705969095101919,0.00227155251694547,0.00260744801780607,0.0115119338842323,0.00188665341873812
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,SSNA1,Sjoegren syndrome nuclear autoantigen 1,48778,0.013202673962692,0.00424880385534428,0.00487501840621725,0.0215303295191668,0.00189011783059091
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,FHIT,Bis(5'-adenosyl)-triphosphatase,51447,0.0187087213062393,0.0060221423751335,0.00690532225097768,0.030512120361501,0.00189448622842835
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,HMBS,Porphobilinogen deaminase,52163,0.0105256100329458,0.00339648759569446,0.00386849434538462,0.0171827257205069,0.00194423881265383
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GLYR1,Putative oxidoreductase GLYR1,48767,0.0150505050935906,0.00486989255515795,0.00550551568548103,0.0245954945017002,0.00200077772030288
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,GLOD4,Glyoxalase domain-containing protein 4,51889,0.00887295123336274,0.00287484216537752,0.0032382605892228,0.0145076418775027,0.00202824696409495
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CPPED1,Serine/threonine-protein phosphatase CPPED1,52166,0.0169944767767852,0.00550711744215866,0.00620052659015423,0.0277884269634162,0.00203164419524532
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,TIGAR,"Fructose-2,6-bisphosphatase TIGAR",51415,0.0121813078901517,0.00394764172572258,0.00444393010773547,0.019918685672568,0.00203304542962816
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,IL32,Interleukin-32,51933,0.0112846686374988,0.00366561915035335,0.00410005510280623,0.0184692821721914,0.00208275451226544
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,51121,0.0160907726000177,0.00523500841827649,0.00583015610019577,0.0263513890998396,0.00211684468597965
