Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Physical activities,X1070.Time spent watching television (TV),BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,48091,0.0121353345403162,0.0402176327377688,-0.0666912256257107,0.0909618947063431,0.76285224059553
Physical activities,X1070.Time spent watching television (TV),ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",47754,0.00619402633426819,0.0206195932890942,-0.0342203765123564,0.0466084291808928,0.763879003959687
Physical activities,X1070.Time spent watching television (TV),FBP1,"Fructose-1,6-bisphosphatase 1",51092,-0.00484453759803442,0.0161493914146634,-0.0364973447707747,0.0268082695747058,0.764193144885021
Physical activities,X1070.Time spent watching television (TV),HEPH,Hephaestin,48091,0.0146581504048053,0.0491682988342974,-0.0817117153104177,0.111028016120028,0.765613247232287
Physical activities,X1070.Time spent watching television (TV),TMPRSS5,Transmembrane protease serine 5,50778,0.00933586094071246,0.0314214712910396,-0.0522502227897251,0.0709219446711501,0.7663797827353
Physical activities,X1070.Time spent watching television (TV),GSTM4,Glutathione S-transferase Mu 4,47431,0.0059295173999267,0.0199720318687251,-0.0332156650627746,0.045074699862628,0.76655296831794
Physical activities,X1070.Time spent watching television (TV),THAP12,52 kDa repressor of the inhibitor of the protein kinase,47372,-0.00490628381494675,0.0165638617332252,-0.0373714528120682,0.0275588851821747,0.767077492074003
Physical activities,X1070.Time spent watching television (TV),ANP32C,Acidic leucine-rich nuclear phosphoprotein 32 family member C,47553,0.0108296108171423,0.0366432920631518,-0.0609912416266353,0.0826504632609198,0.767583548582135
Physical activities,X1070.Time spent watching television (TV),VPS28,Vacuolar protein sorting-associated protein 28 homolog,47754,0.00623109226620894,0.0211220250535257,-0.0351680768387014,0.0476302613711193,0.767993645899265
Physical activities,X1070.Time spent watching television (TV),ENOPH1,Enolase-phosphatase E1,48029,-0.00754889873853936,0.0258141137597863,-0.0581445617077205,0.0430467642306418,0.769958702533658
Physical activities,X1070.Time spent watching television (TV),FAM3D,Protein FAM3D,48026,0.00463306476355298,0.015898899529173,-0.0265287783136261,0.0357949078407321,0.770742492539263
Physical activities,X1070.Time spent watching television (TV),SMARCA2,Probable global transcription activator SNF2L2,50585,-0.00490541768264952,0.016835670565305,-0.0379033319906474,0.0280924966253484,0.770770725866776
Physical activities,X1070.Time spent watching television (TV),LSM8,U6 snRNA-associated Sm-like protein LSm8,47754,-0.00498349122933711,0.0171114187019584,-0.0385218718851756,0.0285548894265014,0.770872640116966
Physical activities,X1070.Time spent watching television (TV),IL1A,Interleukin-1 alpha,50695,-0.00595691492756658,0.0205706428880326,-0.0462753749881105,0.0343615451329773,0.772137751510754
Physical activities,X1070.Time spent watching television (TV),PBK,Lymphokine-activated killer T-cell-originated protein kinase,47406,-0.0131206366959973,0.0454133758313599,-0.102130853325463,0.0758895799334682,0.772649083292405
Physical activities,X1070.Time spent watching television (TV),NTF4,Neurotrophin-4,50555,0.00930089852654642,0.0323138461293553,-0.05403423988699,0.0726360369400828,0.773479489538516
Physical activities,X1070.Time spent watching television (TV),CTSH,Pro-cathepsin H,50597,0.00463342784581309,0.0162669352561833,-0.0272497652563061,0.0365166209479323,0.775771573277798
Physical activities,X1070.Time spent watching television (TV),RLN1,Prorelaxin H1,48050,-0.00880136936296318,0.0309965264769694,-0.0695545612578233,0.0519518225318969,0.77645405314711
Physical activities,X1070.Time spent watching television (TV),SPINK6,Serine protease inhibitor Kazal-type 6,51285,-0.0062685301271268,0.0221522018728969,-0.0496868457980048,0.0371497855437512,0.777198209486652
Physical activities,X1070.Time spent watching television (TV),ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,50681,0.0109036280417827,0.0385762187265698,-0.0647057606622941,0.0865130167458594,0.777446608702086
Physical activities,X1070.Time spent watching television (TV),IL34,Interleukin-34,50542,0.00956659405491954,0.0338793676606132,-0.0568369665598823,0.0759701546697214,0.777660736669631
Physical activities,X1070.Time spent watching television (TV),KLK6,Kallikrein-6,51103,0.010799951315805,0.0387848165952572,-0.0652182892108991,0.0868181918425091,0.78066318504852
Physical activities,X1070.Time spent watching television (TV),SETMAR,Histone-lysine N-methyltransferase SETMAR,50807,-0.0110923631602814,0.0399331454063208,-0.0893613281566702,0.0671766018361073,0.781188943969331
Physical activities,X1070.Time spent watching television (TV),COL4A4,Collagen alpha-4(IV) chain,47723,0.00742067008468559,0.0267219581414494,-0.0449543678725551,0.0597957080419263,0.781246171025182
Physical activities,X1070.Time spent watching television (TV),RAB37,Ras-related protein Rab-37,50695,0.00409056809329773,0.0148066289739897,-0.0249304246957221,0.0331115608823176,0.78234635563599
Physical activities,X1070.Time spent watching television (TV),EIF5,Eukaryotic translation initiation factor 5,47431,0.00916108063148978,0.0332598574403688,-0.056028239951633,0.0743504012146125,0.782981573763565
Physical activities,X1070.Time spent watching television (TV),SH3BGRL2,SH3 domain-binding glutamic acid-rich-like protein 2,47467,0.00643594189445473,0.0233984840798973,-0.039425086902144,0.0522969706910535,0.783274636111852
Physical activities,X1070.Time spent watching television (TV),CAMLG,Guided entry of tail-anchored proteins factor CAMLG,47578,0.00713895489941802,0.026172953359424,-0.044160033685053,0.058437943483889,0.785040085630625
Physical activities,X1070.Time spent watching television (TV),LYPD1,Ly6/PLAUR domain-containing protein 1,50585,-0.00536392518967084,0.0197474352763009,-0.0440688983312206,0.033341047951879,0.785911831713517
Physical activities,X1070.Time spent watching television (TV),CTRB1,Chymotrypsinogen B,51090,-0.00558937251440803,0.0207397401955666,-0.0462392632977186,0.0350605182689025,0.787546949852048
Physical activities,X1070.Time spent watching television (TV),THRAP3,Thyroid hormone receptor-associated protein 3,47431,0.00355881625358344,0.0132847799200227,-0.0224793523896611,0.029596984896828,0.788789442538641
Physical activities,X1070.Time spent watching television (TV),PCARE,Photoreceptor cilium actin regulator,47467,-0.00460165845644766,0.0172033478214345,-0.0383202201864592,0.0291169032735639,0.789097747653423
Physical activities,X1070.Time spent watching television (TV),DOC2B,Double C2-like domain-containing protein beta,47578,-0.0103912514639543,0.0389512098718643,-0.0867356228128083,0.0659531198848997,0.789644463493869
Physical activities,X1070.Time spent watching television (TV),COQ7,"5-demethoxyubiquinone hydroxylase, mitochondrial",47553,0.00853325311605833,0.0321538056807155,-0.0544882060181441,0.0715547122502608,0.790713012353912
Physical activities,X1070.Time spent watching television (TV),AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,48100,-0.0138727058972215,0.0523533852542668,-0.116485340995585,0.0887399292011415,0.791026112033624
Physical activities,X1070.Time spent watching television (TV),GFOD2,Glucose-fructose oxidoreductase domain-containing protein 2,50555,0.00258109871933353,0.00978896081849643,-0.0166052644849195,0.0217674619235865,0.792033270715939
Physical activities,X1070.Time spent watching television (TV),B4GAT1,"Beta-1,4-glucuronyltransferase 1",51090,0.0128503162335671,0.0489034645745091,-0.0830004743324708,0.108701106799605,0.79273100996091
Physical activities,X1070.Time spent watching television (TV),APOB,Apolipoprotein B-100,48120,0.0156767932502886,0.0600839432087696,-0.1020877354389,0.133441321939477,0.794160922492595
Physical activities,X1070.Time spent watching television (TV),TRIM26,Tripartite motif-containing protein 26,47406,-0.00646574347132967,0.0248730337547983,-0.0552168896307342,0.0422854026880749,0.794905239343499
Physical activities,X1070.Time spent watching television (TV),SLITRK6,SLIT and NTRK-like protein 6,50681,-0.00905394796851394,0.0350535189495753,-0.0777588451096816,0.0596509491726537,0.796186070815393
Physical activities,X1070.Time spent watching television (TV),MAEA,E3 ubiquitin-protein transferase MAEA,50555,0.00804662143086169,0.0312550049972092,-0.0532131883636683,0.0693064312253917,0.79683331807201
Physical activities,X1070.Time spent watching television (TV),BAG6,Large proline-rich protein BAG6,50681,-0.00841514787760851,0.0327027858519248,-0.072512608147381,0.055682312392164,0.796932570268748
Physical activities,X1070.Time spent watching television (TV),CTSF,Cathepsin F,51147,-0.00760580944204619,0.0295703692935075,-0.0655637332573209,0.0503521143732285,0.797018626772711
Physical activities,X1070.Time spent watching television (TV),DCUN1D2,DCN1-like protein 2,47406,0.00464555065650889,0.018072139415132,-0.0307758425971499,0.0400669439101676,0.797138407511526
